iteration,query1,query2,query3,query4,query5,query6,query7,query8,query9,query10,query11
#1,0.5965410000000001,0.7454919999999999,0.431431,0.48919,0.015549,684.109221,132.956776,156.785262,163.282448,351.286901,0.536539
#2,0.7661699999999999,0.61161,0.52698,0.5478390000000001,0.018024000000000002,695.169534,128.998574,150.468086,166.140951,387.432485,0.470114
#3,0.45752,0.337685,0.309942,0.317778,0.023744,669.232603,133.084316,164.49672,147.302376,325.090673,0.492817
#4,0.464874,0.3296,0.34454700000000005,0.307398,0.012243,673.446885,156.799369,162.096368,165.545522,344.204808,0.570232
#5,0.5863529999999999,0.441089,0.38141699999999995,0.39741699999999996,0.02112,648.692167,127.985971,150.91698,158.798157,341.80195,0.51073
#6,0.546297,0.4044,0.400402,0.401656,0.045425,646.282436,130.136945,161.422982,153.91666,337.585333,0.488288
#7,0.440257,0.323238,0.31267700000000004,0.312227,0.017142,722.657459,137.005177,154.838393,148.663985,365.031241,0.47363
#8,0.443103,0.372871,0.339599,0.337805,0.042811,732.213866,130.715582,162.500988,176.234507,393.790487,0.966256
#9,0.5223920000000001,0.355799,0.324761,0.464132,0.021710999999999998,757.291461,149.930156,155.288158,145.63986,341.75414,0.485302
#10,0.557728,0.44154000000000004,0.658047,0.396535,0.020699000000000002,686.959789,127.185777,148.813296,155.211685,346.909663,0.49365800000000004
#11,0.582866,0.437613,0.432873,0.43335399999999996,0.041417999999999996,633.106737,128.915018,148.731172,153.327492,376.746415,0.48443
#12,0.526119,0.380004,0.33260500000000004,0.323258,0.017252,648.841618,122.360344,149.919776,146.712426,328.469295,0.488949
#13,0.530197,0.443414,0.39117599999999997,0.390424,0.013526,652.774221,128.913414,149.402233,147.785083,356.591534,0.490983
#14,0.466667,0.34041000000000005,0.334769,0.312036,0.0427,816.242518,144.184804,181.386653,163.622848,368.456911,0.477598
#15,0.680439,0.511672,0.47674700000000003,0.481205,0.040837000000000005,695.302874,128.534042,164.222234,153.736521,362.252687,0.51575
