iteration,query1,query2,query3,query4,query5,query6,query7,query8,query9,query10,query11
#1,0.787961,0.884894,0.511462,0.446279,0.075001,1345.222418,229.446174,278.325376,278.560026,756.280481,16.915931
#2,0.7739349999999999,0.574239,0.761221,0.717158,0.086973,1236.731999,217.055339,269.625791,263.654795,793.480456,17.683385
#3,0.733189,0.5475990000000001,0.509348,0.477658,0.064211,1303.175811,208.81616,273.483262,269.954849,951.449704,24.004759
#4,1.003527,0.8488450000000001,0.833938,0.8444969999999999,0.060643999999999997,1941.021087,255.609611,354.420994,318.190401,937.993316,27.166562
#5,0.9187069999999999,0.76106,0.79262,0.7205839999999999,0.044774,1240.858987,201.083883,299.742289,282.152039,823.981958,22.987637
#6,0.595499,0.442733,0.43512799999999996,0.453052,0.054222,1394.5232219999998,233.243833,287.070806,286.853107,974.955234,27.530537
#7,0.8510800000000001,0.701229,0.708391,0.624795,0.057629,1357.30305,198.258471,282.708014,293.498461,859.000783,23.637858
#8,0.817557,0.5629890000000001,0.523795,0.512633,0.045795999999999996,1346.475905,194.309688,271.827169,274.137432,833.249331,22.885464
#9,0.821685,0.682092,0.619144,0.505159,1.188665,1356.985913,204.118739,272.941393,293.462122,977.744718,31.475663
#10,0.844127,0.62751,0.589949,0.586864,0.06475199999999999,1370.392848,207.236911,284.984805,275.608137,944.249448,22.591863
#11,0.721567,0.573588,0.54804,0.5519080000000001,0.06475199999999999,1239.444689,195.49156,272.720699,280.697846,874.272173,22.729742
#12,0.788462,0.5716939999999999,0.524306,0.5463669999999999,0.0475,1364.925289,201.949551,278.046461,298.965689,997.937701,28.387979
#13,1.37223,0.630024,0.499229,0.52158,0.05368,1306.421113,198.409826,289.172007,308.127503,1003.6626529999999,26.105908
#14,0.634443,0.482768,0.502514,0.43151100000000003,0.035917000000000004,1368.737316,205.064036,293.213184,281.298675,878.692803,22.635084
#15,0.7355430000000001,0.562397,0.566314,0.5202279999999999,0.055194,1352.083136,214.41735,293.244423,276.660856,928.007995,22.398649
