iteration,query1,query2,query3,query4,query5,query6,query7,query8
#1,0.7029310000000001,0.025198,3422.148433,614.478706,635.329725,651.762679,1201.138313,970.12354
#2,0.639051,0.053641,1517.66724,4995.157785,5891.5022229999995,5880.081502,29443.219847999997,1013.0532269999999
#3,0.694616,0.041137,1066.9277100000002,143.203519,160.375873,160.577221,710.268028,24.2077
#4,0.7825610000000001,0.028704,1045.325499,142.74651,161.092049,168.759655,827.796158,29.288402
#5,0.705767,0.031469000000000004,1073.056402,149.812885,171.864612,173.42262,834.564011,26.217528
#6,0.73918,0.027892,1098.076589,152.577131,164.678702,157.155529,744.947494,23.889391
#7,0.590099,0.019687,1045.268321,139.184634,166.188931,171.420727,763.102977,23.671682
#8,0.738508,0.036148000000000007,1168.834753,133.998014,160.787217,158.634619,740.573853,22.742215
#9,0.714394,0.03186,1220.723834,145.521357,185.333833,171.195754,756.900165,23.040446
#10,0.7131609999999999,0.035586,1210.273727,137.877096,168.155769,162.896752,749.272576,24.149971
#11,0.671423,0.049201999999999996,1100.877114,156.7731,187.710121,189.495036,741.349531,23.433865
#12,0.743718,4.032471,1197.687876,148.821921,169.701646,179.910548,866.166894,23.47885
#13,0.8475130000000001,0.035616999999999996,1228.753279,139.192408,184.504284,176.077783,784.299375,28.292299
#14,0.697852,0.029966999999999997,1098.591498,138.561302,158.461314,157.083103,791.948466,23.603264
#15,0.652627,0.037972,1141.365462,158.24679,167.883427,166.571531,783.893472,23.299312
