iteration,query1,query2,query3,query4,query5,query6,query7,query8
#1,3.387509,0.160953,1227.185572,222.017768,336.197503,343.923649,547.36253,0.870616
#2,0.517323,0.050936,979.266329,210.54489,308.856243,339.235184,476.236003,0.5427609999999999
#3,1.06401,0.030677,852.631739,190.562724,278.734615,267.793436,565.161,0.535347
#4,0.508215,0.03186,971.26662,217.237952,299.811709,287.219135,495.244628,0.486174
#5,0.597132,0.023684999999999998,832.383793,184.245337,261.831517,266.13639,457.860076,0.562287
#6,0.6306459999999999,0.018846,831.949106,201.283488,283.010373,295.64715,449.055905,0.5595220000000001
#7,0.511972,0.040847,835.73346,189.766276,261.336356,262.345143,454.174077,0.502766
#8,0.5065419999999999,0.025027,830.648721,204.412881,288.601755,266.791352,452.380646,0.511402
#9,0.703562,0.030548,937.858272,212.877535,281.871101,267.103399,500.284514,0.9192380000000001
#10,0.729051,0.039613999999999996,898.513986,241.333291,295.358637,271.761736,469.079499,0.5280929999999999
#11,0.62227,0.047179,872.319391,200.014433,307.360541,300.771123,514.163827,0.697962
#12,0.6282709999999999,0.025739,1148.030562,281.932266,439.359126,438.2393,603.335678,0.649962
#13,0.7184400000000001,0.023975,944.520708,212.170647,307.716841,306.79089,631.339444,0.526089
#14,0.723299,0.028263000000000003,877.69139,198.339484,259.782536,259.613818,501.762552,0.5076240000000001
#15,0.584569,0.035266,863.778615,183.059487,259.41806,259.661678,470.422483,0.506242
