iteration,query1,query2,query3,query4,query5,query6,query7,query8,query9,query10,query11,query12,query13,query14
#1,0.636477,31.796596,28.783723,28.002424,41.524134,26.7023,26.980763,0.049443,3762.259544,183.41675,187.728044,187.33693,4077.205255,201.773109
#2,0.56896,26.572976,26.56434,26.44704,42.002193,26.747625,26.773674,0.040526000000000006,3850.7131050000003,168.277177,191.068534,186.060309,3870.149315,205.850304
#3,0.767412,46.991032,46.844978,44.742555,59.72934,41.220854,41.826373,0.069741,4153.182931,245.352116,218.660277,198.537276,3978.438446,361.985174
#4,0.6682359999999999,19.30878,11.135925,16.310594,19.660091,12.981354,11.60121,0.046798,3875.043696,147.633348,168.949241,174.455522,3949.157709,123.896433
#5,0.718941,0.848966,0.667655,0.6490410000000001,0.6649400000000001,0.636747,0.631057,0.046798,3212.761891,144.667983,170.830467,181.313836,4407.907899,175.357157
#6,6.932012,0.900814,0.8348490000000001,0.817296,0.8407,3.236735,0.885023,0.055504,3717.607149,143.332902,166.630472,164.054869,4106.717728,123.733677
#7,0.902497,0.7005170000000001,0.614666,0.598204,0.634152,0.597183,0.5973630000000001,0.047309,3679.962577,138.994286,192.338743,171.460011,3447.2515160000003,127.939354
#8,0.7241810000000001,0.680279,0.6177910000000001,0.511311,0.5138659999999999,0.5148680000000001,0.552138,0.035196,3492.035589,147.515155,172.669945,227.490647,3557.32366,129.435556
#9,0.714674,0.538172,0.511712,0.49488,0.537631,0.535066,0.5242749999999999,0.044985,3680.779834,165.216153,172.088283,194.285343,3586.275057,144.07613
#10,0.642558,0.815774,0.787149,0.738429,0.767082,0.8579829999999999,0.827956,0.052389000000000005,3283.6841630000004,152.210613,173.250638,165.001469,3575.322527,128.168393
#11,0.796668,0.635635,0.503737,0.496073,0.510409,0.500652,0.498999,0.026890999999999998,3247.0301240000003,148.559008,170.059929,167.266307,3671.657764,133.979458
#12,0.788943,0.585661,0.50011,0.514478,0.51644,0.537841,0.495271,0.043863,3390.548706,143.238115,163.224879,163.322513,3614.6069509999998,155.006468
#13,0.732958,0.667314,0.559832,0.5756319999999999,0.642649,0.658719,0.657005,0.07588299999999999,4449.200898,181.52304,181.111646,173.261227,3477.820204,126.263092
#14,0.967128,0.8524619999999999,0.780126,0.7340599999999999,0.850509,0.838416,0.807648,0.053941,3680.300302,144.396713,173.208629,190.035432,3635.104025,126.12924
#15,0.6023719999999999,0.548341,0.423977,0.48726600000000003,0.453352,0.632549,0.54773,0.045937,3491.728041,143.606056,166.093592,162.798257,3930.557511,129.883147
#16,0.871128,0.534004,0.412055,0.468541,0.45749,0.45384399999999997,0.48218700000000003,0.06354,3380.027026,145.784582,201.645229,193.416319,4515.050934999999,138.701265
#17,0.673547,0.47146699999999997,0.440709,0.433174,0.461277,0.440969,0.437513,0.039505000000000005,3608.418517,154.240528,170.436206,175.243003,3828.506507,135.754635
#18,0.675901,0.503426,0.666273,0.563209,0.586964,0.5750510000000001,0.464734,0.051347000000000004,3583.464693,148.829696,175.386803,179.486721,3976.536721,127.138086
#19,0.7171879999999999,0.596131,0.564722,0.494309,0.568448,0.5263289999999999,0.575372,0.057508000000000004,3814.259583,145.907302,182.406249,171.756989,3551.53158,126.743765
#20,0.817958,0.599778,0.5676570000000001,0.512514,0.5974729999999999,0.5185639999999999,0.567608,0.040185000000000005,3861.356054,153.871465,210.420186,199.694671,3771.215201,132.770596
#21,2.098004,0.778473,0.7002160000000001,0.7667010000000001,0.758335,0.729281,0.7064579999999999,0.051296,3499.784817,173.49145,197.086418,200.484346,3734.056243,162.630111
#22,0.96278,0.634122,0.583527,0.6419969999999999,0.5837169999999999,0.6579769999999999,0.581834,0.039074,3554.5155099999997,149.459972,177.0125,180.569186,4003.1764030000004,125.333414
#23,1.066856,0.97356,0.986966,0.95238,0.9400170000000001,0.987216,0.953603,0.049201999999999996,3560.999941,157.55498,173.632135,169.972324,3869.905476,128.199022
#24,0.6718529999999999,0.45263099999999995,0.41885700000000003,0.449365,0.455245,0.422805,0.43191199999999996,0.041358,3866.3245850000003,154.882346,187.085426,171.777518,3650.1925100000003,128.048358
#25,0.8165950000000001,0.621228,0.5424500000000001,0.55821,0.5731280000000001,0.523715,0.534965,0.06956100000000001,3840.079374,151.123007,178.879229,193.33755,4026.260991,126.314288
#26,0.910292,0.682774,0.673837,0.6242340000000001,0.6713020000000001,0.663869,0.614255,0.04245,3687.237685,147.227204,166.583233,163.739747,3590.235452,122.832623
#27,0.79226,0.618934,0.593145,0.527412,0.652306,0.57943,0.6511140000000001,0.058961,4276.209578,208.505877,246.340876,198.730219,4128.902154,125.415929
#28,0.772463,0.556126,0.49365800000000004,0.514888,0.5669959999999999,0.607201,0.676932,0.057186999999999995,3660.4238960000002,190.993413,190.518481,197.896812,3872.206382,136.541275
#29,0.8794930000000001,0.7918780000000001,0.732246,0.692913,0.719092,0.739009,0.724252,0.06600400000000001,3785.346477,145.114952,165.249646,166.190615,4079.6520950000004,129.764314
#30,0.6792870000000001,0.500852,0.429637,0.443684,0.45912400000000003,0.426702,0.43146100000000004,0.036579,3457.900967,158.997983,179.337039,176.022979,3886.9124089999996,194.643024
