iteration,query1,query2,query3,query4,query5,query6,query7,query8,query9,query10,query11,query12,query13,query14
#1,3.872841,1.688454,0.689686,0.594086,1.551597,0.682322,0.568539,0.087324,1710.470967,208.954239,295.527856,293.488863,1267.555135,1.152737
#2,0.78186,0.5901689999999999,0.490732,0.9281849999999999,0.913737,0.9187569999999999,0.905011,0.038482,1793.101271,186.600746,268.048475,260.596094,1166.8972310000001,0.671512
#3,0.642899,0.521621,0.506613,0.48362900000000003,0.505641,0.47080500000000003,0.492115,0.040456000000000006,1803.056896,186.398135,262.786132,257.172268,1101.60357,27.036248
#4,0.631808,0.467038,0.471166,0.568699,0.497796,0.413989,0.399942,0.019567,1641.934991,189.45412,264.600913,289.028306,1451.8365509999999,0.7434080000000001
#5,0.574851,0.448243,0.42019999999999996,0.510169,0.5940259999999999,0.589298,0.579259,0.028393,1785.8247410000001,187.314127,262.405897,264.64696,1120.5261950000001,0.553842
#6,0.517202,0.39956200000000003,0.351451,0.334088,0.37255,0.33922800000000003,0.326284,0.038052,1718.273055,216.336338,286.789257,276.154745,1555.8955489999998,0.647458
#7,0.628662,0.545044,0.513144,0.5220119999999999,0.512203,0.621348,0.51045,0.046227,1793.270949,188.694221,302.506425,278.201382,1343.589979,0.756242
#8,0.519076,0.404862,0.352582,0.355769,0.35068900000000003,0.335581,0.345539,0.045947,1690.928187,190.616785,268.8222,263.293256,1099.418242,0.565283
#9,0.628251,0.501373,0.48188600000000004,0.450316,0.501613,0.465656,0.487547,0.033954,1733.818279,194.420356,267.235617,261.499504,1186.016434,25.93109
#10,0.604717,0.44680000000000003,0.418327,0.401385,0.435339,0.399741,0.39648500000000003,0.037771,1685.982881,199.108079,269.618066,278.615391,1175.529389,0.5728869999999999
#11,0.495471,0.361068,0.34172199999999997,0.333747,0.35162099999999996,0.34449799999999997,0.320353,0.021079999999999998,1809.249168,185.897553,272.351545,263.678871,1263.607554,0.55286
#12,0.551397,0.44694,0.413067,0.392598,0.420741,0.440198,0.47640499999999997,0.034515000000000004,1782.756993,185.40084,266.252329,264.431245,1096.925225,26.59627
#13,0.758456,0.488117,0.41879700000000003,0.405692,0.42697199999999996,0.48603399999999997,0.443895,0.037049,1615.3585580000001,187.973696,262.594882,287.352035,1256.662758,0.727518
#14,0.683886,0.555494,0.5263089999999999,0.514988,0.542861,0.5717949999999999,0.539875,0.027141,2040.8403439999997,272.31748,351.656306,356.603126,1443.737785,0.800606
#15,0.568909,0.439076,0.41877800000000004,0.403078,0.422374,0.39695600000000003,0.383992,0.021870999999999998,1650.150346,180.717335,289.718183,301.895126,1143.861214,26.598655
#16,0.733368,0.449275,0.437532,0.406815,0.425179,0.38942200000000005,0.39892,0.03749,1733.178156,197.02338,274.454699,306.891068,1273.302861,28.848695
#17,0.490252,0.36075799999999997,0.34857499999999997,0.352253,0.349597,0.339548,0.326775,0.036268999999999996,1705.1550730000001,181.446455,263.423801,259.459959,1208.3739170000001,23.681801
#18,0.5930850000000001,0.42563999999999996,0.398279,0.410291,0.416433,0.47685700000000003,0.406745,0.129584,1636.974546,192.156059,261.792634,258.674342,1094.57713,0.744129
#19,0.634823,0.438795,0.407997,0.396015,0.440629,0.38797000000000004,0.373893,0.019567,1791.355077,203.342539,333.535449,275.072179,1278.39812,0.636477
#20,0.6323289999999999,0.462018,0.411223,0.434918,0.45199,0.437492,0.40346899999999997,0.018053999999999997,1600.4633450000001,218.402201,275.383916,285.521233,1178.023958,0.687663
#21,0.60646,0.450427,0.441791,0.413377,0.445367,0.41564100000000004,0.43329500000000004,0.055484,1621.502769,182.201756,271.563393,271.467794,1844.9640510000002,5.172845
#22,0.676572,0.596702,0.5899690000000001,0.5764130000000001,0.505351,0.517433,0.48289800000000005,0.029195,2392.2493249999998,268.728794,399.796599,389.40888,1809.38877,0.9154009999999999
#23,0.6899270000000001,0.6402329999999999,0.5690599999999999,0.5874550000000001,0.571765,0.584219,0.563169,0.047389,2518.766185,233.80623,350.689849,333.654072,1574.377564,1.811676
#24,2.143359,0.5395449999999999,0.5604640000000001,0.541929,0.493047,0.552689,0.5273410000000001,0.035767,2175.660453,208.474608,278.298976,266.425975,1636.235135,0.7584460000000001
#25,0.693364,0.508445,0.461578,0.368833,0.386988,0.423356,0.459053,0.029957,2180.276782,280.459798,417.014067,412.440479,1730.3994220000002,24.955195
#26,0.956528,0.5395650000000001,0.498707,0.5229539999999999,0.528614,0.49965899999999996,0.53718,0.054662999999999996,1791.582255,188.74142,268.835124,265.032084,1261.197603,0.592433
#27,0.537711,0.358885,0.34495800000000004,0.338506,0.347493,0.321895,0.321444,0.050645,1839.871488,199.641902,268.145297,258.05121,1353.516461,1.864996
#28,0.528934,0.36707999999999996,0.342754,0.333227,0.349257,0.32621300000000003,0.317306,0.027421,2348.146503,242.425545,362.665082,342.050918,1677.5812059999998,0.9855929999999999
#29,0.544493,0.370035,0.410362,0.360257,0.366519,0.3563,0.392688,0.039905,1959.0882119999999,212.361505,318.652088,297.718033,1437.103673,0.6034339999999999
#30,0.6443519999999999,3.914248,0.32702499999999995,0.32445,0.364455,0.360087,0.32844799999999996,0.041578000000000004,2123.1537120000003,259.353179,348.66899,330.286772,1287.205207,1.167044
