iteration,query1,query2,query3,query4,query5,query6,query7,query8
#1,0.514974,0.026210999999999998,600.25551,78.953641,79.460809,80.220088,379.032541,11.254228
#2,0.6398659999999999,0.025800999999999998,643.115679,75.400523,78.819743,79.632995,381.476221,10.373752
#3,0.39605,0.02457,641.022138,72.825143,77.019569,86.86442,386.237415,11.280045
#4,0.48886900000000005,0.01828,645.845405,83.663001,81.069556,76.455732,385.698251,10.867526
#5,0.386868,0.018415,584.098004,73.836351,80.398375,75.705502,391.674071,11.263312
#6,0.456924,0.014542,554.05695,69.131569,79.969131,80.091501,373.497597,11.370451
#7,1.047194,0.017445,572.360638,72.987336,79.229867,77.593913,388.538226,11.412375
#8,0.390387,0.017434,600.075592,72.410255,78.451573,76.249386,400.969484,13.056901
#9,0.511572,0.017977,607.503018,73.60753,81.916547,96.297509,410.641108,12.732448
#10,0.489195,0.018658,608.360685,73.658537,79.710658,80.633076,388.432118,10.713056
#11,0.472957,0.018791,584.939999,71.749717,80.718674,77.296951,402.887475,13.940592
#12,0.40882999999999997,0.012401,606.885232,77.688304,95.436642,78.061693,412.03211,12.007278
#13,0.496347,0.015220000000000001,580.120904,84.768774,78.31202,78.213693,456.54131,16.05379
#14,1.723931,0.027844999999999998,616.375241,71.871394,76.854425,75.273769,379.167334,10.022264
#15,0.454608,0.018111000000000002,616.608606,80.152244,79.717759,77.674929,388.301991,11.147595
#16,0.434516,0.020187999999999998,597.911214,69.902876,77.998403,77.157847,390.50375,11.891989
#17,0.49580399999999997,0.026638000000000002,578.132247,74.567041,82.533716,77.475559,405.221933,11.263748
#18,0.41487599999999997,0.014979,605.328204,69.642747,83.677908,75.760904,366.768111,14.914738
#19,0.405204,0.018768,577.122517,72.78974,76.135532,79.411699,408.691661,11.005124
#20,0.49411099999999997,0.017345,614.731634,76.309358,80.550814,77.975561,422.856473,13.625671
#21,0.5610510000000001,0.01659,624.119095,83.621465,78.178318,75.882577,403.602728,10.761121
#22,0.39594,0.050629,632.783215,71.45775,76.382801,76.487289,451.187837,13.178096
#23,0.807242,0.025761,661.728788,72.680815,83.916717,78.915417,422.174075,12.208617
#24,0.702821,0.014773999999999999,635.159723,68.399495,77.13549,78.291969,421.266169,11.430355
#25,0.551253,0.019996,573.460479,71.780373,84.976131,79.216723,457.916052,11.809467
#26,0.421006,0.025103,664.764951,72.028423,85.146923,78.481577,438.503629,13.208589
#27,0.460507,0.019137,614.118977,74.418999,80.473609,78.434888,411.34203,13.267742
#28,0.5845499999999999,0.017571,633.920801,74.398171,79.772113,78.807732,407.528052,11.377873
#29,0.44462599999999997,0.016787,597.367122,72.645912,77.512364,77.092848,408.642846,10.033519
#30,0.45064299999999996,0.017277999999999998,625.52574,71.619966,77.774831,77.802026,421.9523,12.07377
#31,0.389681,0.016774,585.308123,74.770178,79.26981,77.101712,416.519573,12.256767
#32,0.459238,0.025851,630.314912,80.800166,78.913135,77.534867,424.542998,11.15134
#33,0.727938,0.015954,632.117986,73.657432,79.359938,79.446549,437.894299,11.731285
#34,0.492663,0.016072,608.849354,76.951309,79.981442,79.599611,424.820877,13.605613
#35,0.447556,0.020107,634.832094,78.204295,80.910426,79.226792,426.873773,11.357464
#36,1.146857,0.017986000000000002,622.445265,75.350159,83.445319,79.914746,410.658542,12.521685
#37,1.036676,0.016842,590.388815,76.209178,79.515813,83.520827,419.473566,12.227673
#38,0.46546499999999996,0.015857,606.702901,74.366491,76.535447,77.29588,406.308324,16.908321
#39,1.334478,0.018654,650.835969,74.055479,84.181888,81.980223,454.116553,16.278899
#40,0.399648,0.022866,592.55766,72.830181,84.476883,80.877672,392.629559,13.336708
#41,0.489479,0.016534,610.429592,75.792801,80.09812,75.862684,453.791902,14.372089
#42,0.41040499999999996,0.09765,630.238897,94.235088,86.778581,83.143217,369.76216,11.630499
#43,0.59566,0.019452,556.747511,75.452715,77.838528,78.086461,399.150026,11.695336
#44,0.522267,0.019244,563.716647,74.732616,80.274341,75.588401,356.498704,10.98369
#45,0.406114,0.025565,554.915161,74.4715,79.433657,79.019633,361.787459,11.06473
#46,0.7922,0.043485,570.142122,78.51656,76.500634,81.25852,364.056695,10.925824
#47,0.424525,0.037695,545.288662,72.157792,78.731604,79.548769,371.87808,16.458925
#48,0.45387,0.019585,576.744322,74.112593,77.578764,78.317748,359.603298,10.429725
#49,0.39310500000000004,0.014995,548.17841,74.647143,77.902695,79.14949,351.099471,10.121088
#50,0.36765699999999996,0.022994,529.306079,69.927233,78.703797,75.427191,350.203854,10.245498
