iteration,query1,query2,query3,query4,query5,query6,query7,query8,query9,query10,query11
#1,0.312907,0.26469099999999995,0.14344300000000001,0.117799,0.02917,437.826466,95.397974,129.733693,125.147669,216.938452,0.19716499999999998
#2,0.198618,0.14536600000000002,0.10234,0.094843,0.022771999999999997,417.6511,92.790468,128.228279,124.217569,219.541758,0.196631
#3,0.21197300000000002,0.13445,0.120172,0.114259,0.028741,428.725387,94.824501,131.230106,127.807737,214.861329,0.183138
#4,0.191268,0.131379,0.12018300000000001,0.113038,0.05053,415.991788,89.75918,124.775917,126.758104,213.642636,0.293854
#5,0.206246,0.12828399999999998,0.114177,0.105537,0.011221,433.56037,93.677563,128.704099,129.545738,213.545703,0.17901499999999998
#6,0.19769399999999998,0.13020199999999998,0.112106,0.15215299999999998,0.019202,409.97408,100.880344,123.325864,124.060245,213.151998,0.267786
#7,0.226742,0.14825,0.123491,0.108956,0.022153,417.961842,92.141218,130.711415,127.76542,224.39236,0.19628800000000002
#8,0.19113999999999998,0.127952,0.11430599999999999,0.103911,0.019234,433.591505,99.351732,124.634758,123.902917,220.380654,0.21367
#9,0.19799799999999998,0.130228,0.112471,0.10737999999999999,0.017533999999999998,419.172804,97.971701,121.852234,122.580797,222.104643,0.19436099999999998
#10,0.196012,0.136457,0.119198,0.10977200000000001,0.011657,417.353602,95.890693,133.522874,122.839597,213.245852,0.17987799999999998
#11,0.236519,0.169023,0.11911100000000001,0.114064,0.010433,418.494017,93.33094,126.204214,128.767485,214.110169,0.206934
#12,0.197427,0.12834600000000002,0.11429600000000001,0.105952,0.020161000000000002,434.16274,97.01559,123.146509,125.419536,224.101748,0.186922
#13,0.228226,0.135769,0.119292,0.113293,0.20666900000000002,413.986511,92.549651,128.59444,139.059772,230.0763,0.22248400000000002
#14,0.192142,0.13301,0.120211,0.112289,0.014949,432.733481,93.768111,131.431332,127.555964,218.936033,0.177202
#15,0.21105000000000002,0.13886600000000002,0.123657,0.107215,0.014686,423.51569,89.859119,124.277858,127.89327,218.287113,0.183928
#16,0.21207800000000002,0.143069,0.110268,0.10114100000000001,0.015757,420.971559,95.221837,124.573237,123.826868,212.547409,0.196793
#17,0.196279,0.138036,0.10668899999999999,0.09778,0.014878,414.861812,95.766898,124.882296,122.256806,244.493084,0.286273
#18,0.219306,0.165799,0.14490899999999998,0.11679300000000001,0.017248,517.476948,111.344609,132.64911,128.398844,224.947703,0.446819
#19,0.39405399999999996,0.172741,0.12341200000000001,0.164691,0.021176999999999998,427.017142,92.484231,127.929238,131.229595,219.4663,0.19880099999999998
#20,0.20077699999999998,0.131185,0.119161,0.110811,0.022411,446.658943,102.74281,127.23755,130.817059,218.561515,0.18062799999999998
#21,0.192526,0.12914699999999998,0.11715099999999999,0.108724,0.009418,449.714793,95.327596,132.297835,132.636249,225.580117,0.236374
#22,0.200328,0.128424,0.116985,0.11037000000000001,0.014581,427.157339,95.255437,134.236097,129.853549,222.714315,0.19077699999999997
#23,0.19759100000000002,0.129076,0.116905,0.107849,0.0212,418.706728,95.268472,123.809709,122.018939,220.176577,0.19199100000000002
#24,0.222914,0.137921,0.122782,0.113149,0.019118,414.767432,85.397511,122.836548,122.584364,221.957033,0.210847
#25,0.203761,0.131366,0.11902299999999999,0.11012999999999999,0.01117,416.066859,96.5112,127.547496,123.993671,213.788799,0.19765
#26,0.194667,0.123859,0.113303,0.10729000000000001,0.017765,413.374285,95.00611,123.316248,123.288379,216.436874,1.133903
#27,0.58105,0.343913,0.119504,0.112296,0.016159,422.948427,93.37189,127.992826,128.032246,222.64202,0.20588
#28,0.199853,0.13228600000000001,0.11643200000000001,0.11092,0.044274,440.784933,101.566428,125.584571,123.908027,218.126366,0.185053
#29,0.519595,0.134646,0.11962300000000001,0.10577500000000001,0.011304,429.797492,99.34707,124.594328,128.71703,219.658989,0.190251
#30,0.20108600000000001,0.130748,0.114655,0.106443,0.015365,424.130322,91.656292,124.99372,124.005715,220.351045,0.207328
#31,0.204337,0.132543,0.114058,0.106049,0.011263,430.35426,96.981356,131.140854,126.439742,227.135562,0.206896
#32,0.204736,0.135281,0.118657,0.10602500000000001,0.021648,448.995702,95.971214,127.02107,132.291009,212.546511,0.17569300000000002
#33,0.20190799999999998,0.134579,0.122548,0.10931999999999999,0.021248,417.947751,96.469274,123.901137,130.990041,223.226782,0.18887600000000002
#34,0.217724,0.13705799999999999,0.11985599999999999,0.110971,0.014865,420.62995,93.610324,129.342222,125.230258,219.493032,0.245418
#35,1.162269,0.152439,0.121685,0.10984000000000001,0.011382999999999999,453.369891,97.018408,130.363521,127.377915,215.921855,0.20812799999999998
#36,0.253624,0.14176,0.12754000000000001,0.11644499999999999,0.044122999999999996,418.398111,95.860375,122.174863,128.039674,217.512764,0.187411
#37,0.20333600000000002,0.135962,0.119322,0.107026,0.017262,425.699603,94.05867,125.764194,123.367601,219.617453,0.201313
#38,0.284825,0.156097,0.126075,0.115576,0.013096,431.1777,92.855634,126.325427,124.012332,217.800279,0.197545
#39,0.196918,0.129887,0.114094,0.10430800000000001,0.015242,426.646649,96.946255,124.820956,126.62966,215.566105,0.197467
#40,0.216735,0.14696700000000001,0.116081,0.09225799999999999,0.017317,418.042351,95.93065,133.143884,124.85717,212.986578,0.18086600000000003
#41,0.21292599999999998,0.13198300000000002,0.117994,0.107167,0.019465,419.566418,95.357521,125.456085,125.218514,219.428292,0.28166599999999997
#42,0.250901,0.186782,0.397926,0.424099,0.010114000000000001,420.301969,108.890577,126.454003,126.692152,222.987546,0.182002
#43,0.499877,0.13339199999999998,0.118797,0.10841500000000001,0.015761,428.197507,95.574974,125.704054,123.836511,218.275588,0.18909399999999998
#44,0.32442899999999997,0.13591399999999998,0.12397,0.111985,0.010807,425.00624,92.286294,124.37391,133.558853,220.797655,0.188861
#45,0.266745,0.190041,0.13438399999999998,0.10936499999999999,0.019396999999999998,416.29346,95.865673,131.045692,126.342705,222.612266,0.201401
#46,0.276393,0.173746,0.127585,0.112086,0.011455,441.484547,103.639363,127.617684,123.754164,215.345031,0.187878
#47,0.272798,0.14644300000000002,0.12968100000000002,0.100867,0.012396,412.087966,95.980928,126.714707,124.824962,214.462703,0.180196
#48,0.204467,0.13245400000000002,0.11569700000000001,0.107986,0.025731,423.008468,100.428769,125.855545,125.154946,209.914951,0.186386
#49,0.245557,0.14401,0.11898,0.106982,0.013519999999999999,427.835504,92.228449,128.774821,123.26659,215.588527,1.15157
#50,0.204314,0.131689,0.115532,0.111192,0.014118,414.305195,93.002416,122.224989,121.309965,214.569763,0.20521899999999998
