iteration,query1,query2,query3,query4,query5,query6,query7,query8
#1,0.543676,0.279339,389.326881,91.584552,129.95068,127.356216,220.392962,0.264224
#2,0.167715,0.012198,381.282163,88.181998,123.842539,124.433378,217.718796,0.20044
#3,0.208235,0.012466,388.033758,85.307787,126.47782,123.929849,211.242628,0.21000200000000002
#4,0.226232,0.022257000000000002,381.477323,90.203734,125.733543,123.948794,214.465834,0.188505
#5,0.213678,0.021788000000000002,392.134072,91.000395,131.98712,122.457038,213.538486,0.186757
#6,0.189317,0.016914000000000002,378.916246,91.299916,125.385924,122.185666,213.068673,0.180598
#7,0.193076,0.018618,381.885082,90.732554,125.873047,130.872003,212.132622,0.206102
#8,0.314503,0.017882000000000002,375.714616,88.93403,122.267386,120.88806,214.221167,0.181157
#9,0.17873599999999998,0.015747999999999998,372.022486,90.972382,129.153206,121.719362,211.087295,0.190445
#10,0.173732,0.011557,378.736591,90.89455,127.602394,123.999999,212.834673,0.178635
#11,0.21138200000000001,0.012641999999999999,386.631878,103.173615,124.210835,124.197784,217.714084,0.227316
#12,0.223578,0.020943999999999997,392.485448,90.650776,123.643436,121.591605,219.769515,0.206396
#13,0.188078,0.016268,382.434934,92.121817,131.39262,126.823589,226.388369,0.200306
#14,0.194628,0.037471,382.477294,89.571889,124.15697,122.151519,225.07101,0.183189
#15,0.298437,0.016591,378.070806,95.992908,123.047339,122.588914,215.331162,0.193672
#16,0.334397,0.018223,373.798734,88.373368,122.209433,122.416401,211.315744,0.173131
#17,0.203069,0.028484000000000002,379.453374,90.220339,128.036607,127.598377,211.342172,0.204328
#18,0.178558,0.018857,384.276808,90.936795,129.522567,125.709926,213.028209,1.253077
#19,0.202526,0.011237,395.344002,96.04642,127.214361,122.199216,215.022366,0.175386
#20,0.198077,0.023452,389.757893,92.5926,131.703907,127.721356,220.890382,0.237837
#21,0.20063,0.033756,384.03371,92.941085,124.994605,131.38968,215.451637,0.211106
#22,0.214888,0.013137000000000001,404.814911,94.191146,127.779634,128.273336,216.726315,0.19122
#23,0.192988,0.011377,383.970751,93.117656,126.212143,129.551004,215.516257,0.193191
#24,0.199002,0.012587999999999998,379.210935,92.275147,128.935909,126.425762,213.942287,0.223355
#25,0.21190199999999998,0.019298,382.992086,91.951811,123.164393,124.82019,213.399208,0.191809
#26,0.228363,0.012192999999999999,385.623418,88.961862,124.119051,128.083677,215.014681,0.19331399999999999
#27,0.206613,0.019873000000000002,384.983309,93.67393,130.223397,125.850456,216.116855,0.188258
#28,0.18366200000000002,0.020538,395.504494,89.332519,125.036015,125.444069,214.082468,0.260589
#29,0.215178,0.013404999999999999,398.361371,98.027105,129.247644,129.048318,223.68382,0.18715700000000002
#30,0.18621700000000002,0.014416,396.115273,94.462042,126.603178,127.103161,218.038095,0.215972
#31,0.226782,1.119103,400.990515,91.399279,128.050916,127.180662,217.405948,0.257106
#32,0.22075999999999998,0.024739,396.494824,94.709325,128.4458,129.285745,216.568945,0.194158
#33,0.207375,0.012375,398.949453,100.295628,131.12317,127.864011,221.383592,0.206905
#34,0.21106999999999998,0.018264,399.75738,101.179506,132.827434,128.022595,229.96822,0.314112
#35,0.30406299999999997,0.013084,448.578879,108.290252,138.537311,139.252309,223.671427,0.308559
#36,0.296733,0.016789000000000002,397.075674,95.444922,128.093998,126.275466,221.708837,0.24724000000000002
#37,0.212666,0.016358,400.863243,101.147529,125.880463,129.884955,217.439247,0.19959
#38,0.19587100000000002,0.013172000000000001,392.09658,98.003953,130.392518,127.042829,223.910586,0.210611
#39,0.20739500000000002,0.013183,400.55583,91.667415,128.85145,127.175265,217.572997,0.211014
#40,0.19474100000000003,0.0116,398.200123,97.340472,130.332521,126.31891,221.056121,0.19900700000000002
#41,0.18856299999999998,0.012506,413.677288,94.542678,128.264437,127.30264,219.447009,0.19684000000000001
#42,0.21221,0.01703,398.465212,96.10231,130.147069,138.939169,216.435165,0.422645
#43,0.325179,0.051953000000000006,428.091778,105.644014,126.311829,125.346166,212.890372,0.202816
#44,0.206093,0.021524,397.143678,93.79682,128.54508,129.31282,212.776555,0.21821700000000002
#45,0.21257900000000002,0.017048999999999998,396.462429,97.483672,127.503795,125.943735,215.349037,0.20094
#46,0.21318600000000001,0.027239,388.60037,97.823669,122.669652,132.813813,227.410195,0.215468
#47,0.209501,0.02138,402.703061,93.543659,126.232503,127.545029,215.7648,0.182157
#48,0.194566,0.027011,397.254519,94.034706,127.332039,125.472942,215.393885,0.18212799999999998
#49,0.19429400000000002,0.027885,387.285483,95.190932,126.894246,134.605,209.213044,0.27205900000000005
#50,0.19495300000000002,0.029726,402.794039,96.209635,127.550026,126.425373,217.670375,0.294157
