iteration,query1,query2,query3,query4,query5,query6,query7,query8,query9,query10,query11
#1,0.382113,0.272,0.25813200000000003,0.23081800000000002,0.033655000000000004,860.03404,164.411727,181.757288,178.238578,487.916387,0.42360000000000003
#2,0.367817,0.253364,0.288571,0.285087,0.044426,868.618928,168.80017,189.801853,183.267484,508.17416,3.742887
#3,0.383507,0.272579,0.240445,0.265578,0.01472,853.689234,165.813362,180.685521,178.094215,493.808183,0.38505399999999995
#4,0.374925,0.296406,0.247029,0.229886,0.013276,870.769186,161.669119,182.907498,181.919314,484.407671,0.409208
#5,0.358548,0.258642,0.259944,0.242441,0.014984,896.982398,162.916584,180.013801,182.000691,484.664901,0.408874
#6,0.402675,0.278663,0.278302,0.248302,0.021535,896.006466,171.740577,182.883813,183.028072,484.118679,2.04325
#7,0.374271,0.257642,0.257199,0.250014,0.019681999999999998,879.22517,162.190395,181.130718,176.750705,485.355556,0.41058999999999996
#8,0.391277,0.263401,0.262432,0.243558,0.012475,841.555017,163.598114,184.439615,183.582967,493.25008,0.41727600000000004
#9,0.440616,0.304142,0.30385399999999996,0.278477,0.016328,897.324936,159.589966,180.106104,176.470989,486.581085,0.41780700000000004
#10,0.377521,0.27385899999999996,0.278227,0.243235,0.014136,898.197008,165.280856,183.436069,179.202358,515.573234,0.446841
#11,0.38383999999999996,0.34062200000000004,0.26442,0.232556,0.014891,883.28056,171.253216,180.736199,180.381797,529.224089,0.8782949999999999
#12,0.358237,0.257112,0.250431,0.248795,0.012872,852.019819,161.591349,184.033756,184.063027,502.587534,0.396392
#13,0.37579700000000005,0.258418,0.231659,0.236079,0.016324,858.075559,166.188264,181.763556,180.554198,500.417375,0.551009
#14,0.422682,0.29685700000000004,0.270435,0.253849,0.019901,868.546831,169.579316,180.820843,187.829477,473.976588,1.593829
#15,0.38446600000000003,0.280326,0.271918,0.253342,0.015649,886.102025,165.2738,180.800917,181.374018,481.761376,0.415658
#16,0.481421,0.293331,0.267418,0.252401,0.052967,914.505743,168.376308,184.104421,192.917267,497.083589,0.401083
