iteration,query1,query2,query3,query4,query5,query6,query7,query8
#1,0.417607,0.031449000000000005,784.170736,162.657425,186.643323,188.610856,462.640218,0.393783
#2,0.348425,1.329466,765.828564,166.432413,188.719603,185.495227,471.112851,0.436651
#3,0.38532,0.021779,811.854315,176.336969,184.562839,179.854777,481.696799,0.353091
#4,0.411076,0.038024,774.669808,161.574575,175.35856,179.59514,482.458071,0.385781
#5,0.366696,0.042447000000000006,797.43633,161.817575,184.194511,183.632554,475.769912,0.36801999999999996
#6,0.388794,0.013729,791.57759,176.280364,188.140988,181.017842,473.992682,0.370695
#7,0.34692500000000004,0.014799,773.999154,168.612605,183.670008,182.216825,478.412332,0.390563
#8,0.384153,0.01548,799.875473,161.574006,181.309052,179.769941,483.423066,0.385523
#9,0.42724,0.032151000000000006,784.130844,162.20911,182.020688,180.071349,482.649334,0.43085500000000004
#10,0.352226,0.013836000000000001,772.808628,166.583146,178.370714,176.16467,482.346592,0.480046
#11,0.35116,0.026541000000000002,782.596091,165.840271,183.412198,179.628251,489.479774,0.41145800000000005
#12,0.349111,1.419367,762.304858,165.111489,182.100167,180.18214,490.874409,0.379709
#13,3.480064,0.016145,757.980567,157.551128,186.795672,180.834548,486.711358,0.38837900000000003
#14,0.3906,0.015426,836.34899,168.815348,181.762707,182.682658,495.236986,0.425313
#15,1.490964,0.016798999999999998,774.230515,163.298766,180.3284,181.710553,501.95319,1.806415
#16,0.36100099999999996,0.016614999999999998,787.199602,164.914959,181.186163,180.049912,480.684515,0.37376600000000004
#17,0.374516,0.014468,767.884654,167.383065,181.212172,180.062978,490.484375,0.417416
#18,0.361684,0.033975,753.689568,161.564232,174.413815,181.296467,479.259934,0.394195
#19,0.353784,0.016134,773.856048,162.204429,180.392515,180.722416,477.001004,0.38643
#20,0.363871,0.013474999999999999,784.265358,166.533312,203.920473,191.434015,480.77115,0.405428
#21,0.43988099999999997,0.015493999999999999,785.785258,173.263853,185.872445,181.019608,476.197434,0.398526
#22,0.378101,0.014701,837.381919,174.144076,191.698637,186.076929,477.267142,0.433216
#23,0.373034,0.014742000000000002,774.34667,153.14862,187.049276,182.115363,514.812546,0.413297
#24,1.984965,0.015115,767.28699,165.665147,180.533798,179.394932,471.92948,0.502217
#25,0.377639,0.037329999999999995,805.80957,163.15732,182.423803,180.721695,479.268573,0.39621
#26,0.377601,0.01676,779.395345,162.81932,185.716315,187.023112,487.367227,0.384942
#27,2.051833,0.089882,816.055848,166.178547,191.905015,178.395124,485.283757,0.45377
#28,0.413657,0.014821999999999998,792.362323,171.840555,183.743854,179.047657,480.669195,0.391572
#29,0.36224700000000004,0.025088000000000003,772.753157,161.46653,180.788129,179.395229,495.868316,0.402685
#30,0.366931,0.036315,821.728379,168.585353,184.088721,183.761017,487.45869,0.609823
#31,2.138679,0.031084,783.090902,164.83804,182.727756,178.134543,540.421676,0.42597199999999996
#32,0.44558800000000004,0.020211,774.120766,163.369568,179.046568,178.498466,487.122846,0.439452
#33,0.427539,0.033068,791.441778,166.943496,180.808088,178.858385,473.742197,1.82171
#34,0.40358999999999995,0.014243,786.305461,167.060771,193.147747,178.141334,469.048521,1.510869
#35,0.371867,0.014667,796.400894,164.380917,183.086679,182.638165,481.537398,0.38328300000000004
#36,0.386884,0.014223000000000001,784.967703,165.411056,181.407099,182.080886,490.891816,0.39567599999999997
#37,0.396511,0.017495999999999998,772.554026,164.563316,185.25642,181.602276,560.354509,0.40563099999999996
#38,3.160826,0.036536,784.620903,165.962811,181.841479,182.756489,524.609088,0.8085220000000001
#39,0.37875,0.022707,784.632128,167.032209,186.556874,181.633985,487.446321,0.381046
#40,0.37024,0.020402999999999998,770.977593,170.060322,184.614936,179.349886,475.267231,0.43897
#41,0.429376,0.050705,786.452262,177.206635,189.778875,182.308617,485.73666,0.406452
#42,0.377319,0.051098,805.844369,175.041728,189.188908,181.131879,482.242822,0.397142
#43,0.37514800000000004,0.015371000000000001,777.276852,162.918181,182.997696,187.444245,515.085437,0.386546
#44,0.416084,0.015053,788.898968,167.492468,183.386698,181.570292,476.023602,0.406349
#45,0.418622,0.020146999999999998,780.542073,166.231181,183.988009,181.539954,492.725328,0.399941
#46,0.420731,0.013493,761.558501,162.978166,179.023072,176.832204,482.70314,0.407082
#47,0.41597199999999995,0.016817,788.313303,165.953779,182.333549,180.15949,492.759523,0.382972
#48,0.544399,0.037298000000000005,799.249066,180.27161,182.271187,179.889466,508.07317,0.403128
#49,0.381112,0.018921,900.640686,169.175776,183.214023,182.747657,478.330818,0.393611
#50,0.368788,0.042211,772.211217,168.071333,185.479102,194.183288,479.716607,0.413622
