iteration,query1,query2,query3,query4,query5,query6,query7,query8,query9,query10,query11
#1,0.5220119999999999,0.36752300000000004,0.35833,0.386793,0.044789999999999996,1847.871601,305.275597,397.131988,391.950859,1301.068311,30.847953
#2,0.498786,0.331867,0.322666,0.332325,0.033498,1963.0775549999998,305.566042,397.947404,389.7638,1474.246042,27.928091
#3,0.511851,0.33233999999999997,0.327296,0.320713,0.057774,1925.5043730000002,294.712979,391.496137,421.148111,1335.735056,28.795819
#4,0.747974,0.34772699999999995,0.32790199999999997,0.305033,0.024713000000000002,1871.690912,294.393059,404.78816,408.181133,1342.9758259999999,28.887448
#5,0.559396,0.356012,0.33626799999999996,0.32910700000000004,0.031467,1876.051087,302.100958,398.575686,391.594969,1297.427811,28.432307
#6,0.503239,0.329181,0.32935899999999996,0.334869,0.060245,1904.1211790000002,298.693277,393.624552,395.723912,1483.90756,28.219183
#7,0.5428160000000001,0.38367399999999996,0.312803,0.31262900000000005,0.040225000000000004,1910.063828,341.338024,415.121029,396.846392,1336.762017,29.530096
#8,0.5297759999999999,0.329248,0.316222,0.33237700000000003,0.036253999999999995,1937.739812,305.337296,392.556323,392.61223,1382.280215,29.200947
#9,0.534856,0.361179,0.325548,0.326544,0.032173,1927.105998,293.604022,397.376945,402.114832,1438.719312,28.279554
#10,0.531866,0.341008,0.35176100000000005,0.32241699999999995,0.037799,1961.543397,303.319282,396.324634,451.907492,1314.2226779999999,35.482837
#11,0.545965,0.36904000000000003,0.32768,0.304762,0.032022,1917.60987,300.957695,399.380996,399.390286,1400.166023,28.235541
#12,0.492047,0.33763299999999996,0.329278,0.390775,0.024139,1963.269779,328.982588,394.204608,415.094194,1475.2916739999998,29.418648
#13,0.8795270000000001,0.349358,0.34076100000000004,0.321844,0.041657,1980.888277,303.465345,390.168344,401.091675,1445.915604,29.232063
#14,0.8447279999999999,0.8023859999999999,0.55541,0.931336,0.08115900000000001,1947.275117,302.346417,397.429094,398.031655,1551.882255,28.164481
#15,1.60705,0.36827,0.340404,0.34107,0.036232999999999994,2087.3533009999996,301.246968,393.828204,411.929229,1412.697768,28.005382
#16,0.510025,0.384319,0.338314,0.32287099999999996,0.051243000000000004,1971.631451,301.999951,391.948987,411.055189,1545.6532140000002,28.600766
#17,0.6074740000000001,0.407912,0.329512,0.337837,0.377319,1963.6870230000002,300.326601,400.944005,393.215308,1479.202025,28.010961
#18,0.511132,0.368726,0.316032,0.296841,0.030844,2078.072853,298.074636,398.131002,455.320336,1566.1055079999999,29.281723
#19,0.5607369999999999,0.348594,0.334648,0.30082400000000004,0.046694,2028.867476,297.083438,408.061272,442.889227,1437.717171,28.534462
#20,0.5304220000000001,0.406442,0.34272199999999997,0.323104,0.8709210000000001,1947.3875030000002,306.261202,397.294534,455.732266,1435.555624,29.861638
#21,0.516243,0.361726,0.366602,0.36445299999999997,0.040188,2003.758972,298.126574,401.900907,405.213663,1484.775728,29.560011
#22,0.6476810000000001,0.44484300000000004,0.395256,0.374492,0.04081,2043.411236,304.210737,419.317602,459.977878,1453.445794,28.171626
#23,0.533208,0.38087099999999996,0.32322300000000004,0.317032,0.048015999999999996,1956.29052,307.671231,398.968097,420.383763,1435.881621,28.556397
#24,0.607168,0.534343,0.33096499999999995,0.32098200000000005,0.054204,1998.361454,292.026787,423.379403,436.660602,1448.382544,28.504768
#25,0.539956,0.36657999999999996,0.339854,0.310265,0.042209,1955.329649,302.581825,432.654641,393.667016,1446.1438449999998,28.014245
#26,0.547099,0.33929000000000004,0.371055,0.331281,0.024689,1988.639651,302.599513,402.911017,462.327597,1511.115331,30.255606
#27,0.5388630000000001,0.419674,0.365377,0.363854,0.039075000000000006,1988.466829,303.296725,404.644368,394.132207,1447.885127,28.539181
#28,1.158635,0.363982,0.332,0.333206,0.032341,2028.8674310000001,319.694343,429.401385,442.13277,1459.5461480000001,28.006653
#29,0.549529,0.42619799999999997,0.39931700000000003,0.35486,0.036594,2057.188356,301.150834,400.039024,418.768445,1484.453602,28.219804
#30,0.635629,0.389238,0.330796,0.32153699999999996,0.034927,2019.8133280000002,326.42569,541.532462,464.488645,1531.038996,29.064066
#31,1.475353,0.44751100000000005,0.34789800000000004,0.334572,0.032204,2066.445789,300.020604,400.217965,397.862121,1546.7141550000001,29.309507
#32,2.1605,0.469704,0.405053,0.36112700000000003,0.055692,2272.00855,314.462513,403.631377,395.229166,1629.765596,28.369443
#33,0.545947,0.363284,0.34398,0.348275,0.031186,2064.812589,298.60776,410.935132,399.264772,1547.38359,28.286997
#34,0.555319,0.370721,0.343671,0.329315,0.041199,2156.456714,303.690888,397.774134,402.266911,1546.818389,28.153572
#35,0.5382830000000001,0.35923200000000005,0.35414100000000004,0.340459,0.023885999999999998,2209.771909,302.784048,396.327087,417.310001,1542.199087,27.493961
#36,0.5678,0.384261,0.34232100000000004,0.320142,0.046104,2163.754969,290.484108,399.762446,399.673183,1555.0394649999998,28.734907
#37,0.567917,0.438042,0.349825,0.33132999999999996,0.042469,2169.7701020000004,302.195385,403.168479,393.194085,1506.744457,28.836521
#38,1.7876,0.403777,0.364902,0.348525,0.032443,2194.874831,305.009293,415.034164,399.411154,1525.4857120000001,30.207947
#39,0.5402809999999999,0.423862,0.37035199999999996,0.393411,0.0673,2081.342283,300.81493,397.381834,397.315369,1522.286668,30.217722
#40,0.523486,0.412399,0.376798,0.358279,0.037556,2109.2676109999998,297.079584,406.206151,404.186897,1476.661317,29.36408
#41,0.509327,0.354674,0.36386399999999997,0.3435,0.047853,2049.177416,308.965271,395.198533,419.350821,1557.1085469999998,28.343372
#42,0.517134,0.35707,0.345233,0.34088799999999997,0.069037,2102.9148379999997,318.315411,408.442622,400.96365,1514.6712710000002,28.353489
#43,0.525918,0.35595299999999996,0.335055,0.32080200000000003,0.022367,2080.1999210000004,302.116646,404.152339,415.290433,1969.38479,32.197228
#44,0.577913,0.46541000000000005,0.413459,0.389746,0.043691,2151.815934,300.507927,402.458302,395.347077,1732.1427549999999,28.254631
#45,0.551516,0.400857,0.359057,0.33677300000000004,0.11756799999999999,2095.9442830000003,305.529067,397.130889,406.811084,1565.609863,28.99457
#46,0.554289,0.357299,0.349628,0.339018,0.030401,2061.9966010000003,305.077082,427.825944,394.711071,1573.358234,28.482882
#47,0.5595439999999999,0.362615,0.348964,0.334332,0.037142,2136.2194099999997,307.772585,394.741682,451.382837,1528.9302229999998,28.382377
#48,0.5819529999999999,0.3604,0.335233,0.32851600000000003,0.032554,2057.204897,296.801763,399.908632,421.278164,1537.520883,28.25827
#49,0.5927039999999999,0.374616,0.386461,0.35185500000000003,0.188118,2039.455601,299.924932,426.427957,449.206247,1582.345002,31.647496
#50,0.546734,0.37607999999999997,0.348298,0.321965,0.032850000000000004,2042.123347,309.291041,435.935544,400.74942,1474.002934,33.844889
