iteration,query1,query2,query3,query4,query5,query6,query7,query8,query9,query10,query11
#1,0.213284,0.168289,0.124261,0.110874,0.028548999999999998,361.077436,77.034571,86.299723,89.516195,203.403494,0.39085899999999996
#2,0.24334899999999998,0.147936,0.120397,0.13623,0.021735,381.170916,74.415127,83.513321,81.729076,197.014593,0.20988800000000002
#3,0.230351,0.146277,0.118592,0.11353400000000001,0.010641999999999999,361.623848,77.802849,90.854551,84.32239,203.769365,0.30819
#4,0.23102099999999998,0.154963,0.13861099999999998,0.12883,0.016328,357.903679,77.398522,84.388513,80.811055,203.089856,0.230531
#5,0.22667500000000002,0.146035,0.130584,0.11156100000000001,0.014587999999999999,353.701446,75.7858,96.747844,90.807002,198.695228,0.276134
#6,0.212975,0.133482,0.11595,0.111306,0.011851,360.41775,73.41906,82.519956,80.267508,196.567118,0.281628
#7,0.213958,0.165919,0.113557,0.109178,0.021024,356.983957,73.783827,89.674504,83.280837,197.865775,0.235934
#8,0.213772,0.139794,0.11818000000000001,0.112864,0.025825,361.056696,76.426207,84.264445,83.514561,198.889313,0.238916
#9,0.208131,0.15154900000000002,0.1212,0.105995,0.010618,359.630062,82.885814,86.262053,80.844309,201.102259,0.224334
#10,0.211322,0.132169,0.113978,0.112697,0.013787,361.001649,80.138586,88.604583,81.094042,200.446086,0.22488999999999998
#11,0.21607900000000002,0.138001,0.1174,0.114008,0.012769,360.562424,78.159666,99.731204,88.526654,203.794962,0.23147700000000002
#12,0.242195,0.181568,0.157472,0.13987,0.01343,370.867027,78.009179,82.412754,83.034391,197.289994,0.285676
#13,0.229517,0.145455,0.122169,0.106127,0.010087,379.385019,77.864773,82.570777,79.869989,198.877914,0.358745
#14,1.390599,0.15597999999999998,0.13485,0.117194,0.012108,361.647898,76.786415,86.432376,84.077957,204.652096,0.239478
#15,0.211907,0.158132,0.107499,0.090561,0.009903,378.78199,77.804222,82.538456,81.209637,194.407296,0.22565100000000002
#16,0.212422,0.13811400000000001,0.11365600000000001,0.110621,0.010398999999999999,362.480748,68.150068,83.05518,81.146282,201.598533,0.30093000000000003
#17,0.23136099999999998,0.156819,0.133062,0.12645900000000002,0.025297999999999998,375.166377,74.114062,83.301954,83.468369,198.756713,0.22700299999999998
