iteration,query1,query2,query3,query4,query5,query6,query7,query8
#1,0.768691,0.025759,509.594478,113.767296,155.731977,153.443796,252.92937,0.232974
#2,0.210048,0.011141,412.811695,108.583909,146.100086,149.168678,253.762197,0.2642
#3,0.35177800000000004,0.012678,431.224233,99.508216,143.634701,141.602371,260.976506,0.26630200000000004
#4,0.25038,0.014103999999999998,444.433912,105.794011,146.587534,148.320965,253.681155,0.317318
#5,0.230242,0.017378,419.382037,94.746992,145.088781,145.147467,245.404013,0.255861
#6,0.361867,0.027001999999999998,427.560292,101.535623,154.730068,142.427506,253.255836,0.269609
#7,0.239185,0.027869,441.952414,104.93683,146.095143,143.942115,249.24004,0.23236500000000002
#8,0.233103,0.026376,460.118371,130.890225,171.730663,169.512896,264.597073,0.254769
#9,0.232761,0.015908,420.333133,101.733209,136.75968,134.889025,251.264037,0.238873
#10,0.241416,0.027206,441.492548,109.701698,141.812364,139.456105,246.722757,0.225654
#11,0.234398,0.011769,425.827801,100.614475,138.679041,148.427808,246.505799,0.233725
#12,0.25656799999999996,0.031851,429.089478,106.619742,140.20662,133.172086,252.361354,0.24481299999999998
#13,0.24484299999999998,0.016714,440.950861,107.634325,137.357847,137.205293,243.629403,0.242588
#14,0.226381,0.02395,414.511215,106.322123,138.701924,140.327592,249.512109,0.248342
#15,0.364161,0.011375,427.74075,109.851819,142.902161,149.974372,249.109251,0.30880599999999997
#16,0.263296,0.192968,441.049121,103.123118,136.505932,136.018311,248.959063,0.295751
#17,0.311179,0.013531000000000001,424.061909,97.568658,136.631244,135.766743,244.743994,0.350622
#18,0.217409,0.012055,411.561678,102.713371,139.473505,137.118811,242.551948,0.243917
#19,0.29959600000000003,0.018786,421.150969,108.067253,136.084317,138.293554,243.711272,0.24208000000000002
#20,0.246264,0.022613,409.867767,98.471492,137.633672,134.985424,252.186501,0.280863
#21,0.248201,0.021987,409.618533,102.648293,138.395721,133.318036,250.114073,0.249232
#22,0.333789,0.08604,420.909921,98.606781,139.53101,145.512559,256.21002,0.31281200000000003
#23,0.256264,0.022151,425.974652,102.623067,137.60525,138.119588,246.309005,0.252374
#24,0.317048,0.015705,432.025627,102.740602,140.579926,137.767628,248.020755,0.273175
#25,0.410017,0.020077,437.304225,104.59722,138.894554,138.240031,250.996877,0.24974000000000002
#26,0.6299210000000001,0.030593,432.76758,101.831654,141.39754,135.065737,236.256788,0.22626400000000002
#27,0.34054,0.015931,436.413043,103.587594,141.305187,138.937989,240.858946,0.234904
#28,0.4667,0.013805,414.837972,97.729608,137.160139,138.336798,248.925521,0.24381999999999998
#29,0.401365,0.026888000000000002,415.262667,99.021241,136.218747,134.526901,246.775374,0.246598
#30,0.246611,0.021042,417.315742,110.428226,148.827144,139.543269,245.247141,0.261125
#31,0.280964,0.023476,425.61627,100.382987,143.121785,135.744328,242.148913,0.21878899999999998
#32,0.239762,0.0242,434.953615,105.921036,139.053537,136.872971,249.416824,0.23403100000000002
#33,0.23879,0.02845,423.324413,105.994613,144.707297,144.000036,250.896828,0.24937700000000002
#34,0.36567500000000003,0.025634,413.413111,99.726766,136.145674,135.043142,248.229284,0.244908
#35,0.444416,0.018709,429.893081,102.019847,142.826469,135.629453,249.835663,0.262421
#36,0.241564,0.019077,412.270962,102.498308,138.426362,134.07205,246.264014,0.32094
#37,0.27388,0.020181,418.591921,102.563041,138.904299,141.144539,245.701943,0.402509
#38,0.24187,0.01368,425.749154,119.135373,139.920427,136.82282,248.077522,0.273882
#39,0.235504,1.431995,418.714355,103.714352,133.95861,136.676768,253.053428,0.254461
#40,0.24936699999999998,0.014953,425.905858,105.266833,137.179354,139.129558,243.274911,0.283011
#41,0.26056999999999997,0.014244999999999999,413.735613,101.289897,143.699016,139.452944,244.416548,0.311742
#42,0.26270299999999996,0.013356999999999999,426.944981,98.511678,135.47367,136.770387,246.063594,0.251333
#43,0.279286,0.016009,427.959217,101.218035,137.66955,136.310236,255.3046,0.244554
#44,0.244166,0.017181000000000002,412.603452,109.762374,143.787425,133.716741,248.018678,0.237905
#45,0.255349,0.024149,407.590763,103.857623,140.517122,139.411533,247.937811,0.232382
#46,0.243622,0.0144,437.78243,97.420603,142.940269,138.259779,248.863845,0.251508
#47,0.240405,0.015227000000000001,430.325303,103.168144,140.904909,141.209149,261.559912,0.335648
#48,0.247232,0.011733,422.456489,101.594483,138.437501,139.542364,246.57565,0.240978
#49,0.250109,0.02357,435.185019,110.742858,141.083122,140.553952,246.063601,0.33191899999999996
#50,0.469745,0.026563,426.98624,111.302057,139.873743,137.822536,254.745304,0.249547
