iteration,query1,query2,query3,query4,query5,query6,query7,query8
#1,2.248308,0.57126,581.690948,120.588736,152.982914,146.47599,399.062513,14.059534
#2,0.6480739999999999,0.032491,586.929663,111.286061,152.827065,149.846275,390.095125,10.666647
#3,0.679813,0.039697,600.725609,104.919329,140.629743,142.951242,411.00397,11.189483
#4,0.5348849999999999,0.019954,609.39678,114.859519,149.314977,151.607207,417.862365,10.882543
#5,0.535519,0.017739,605.12177,112.57661,150.593273,172.27441,410.409208,11.923491
#6,0.783083,0.027218,606.455157,114.703215,144.081313,144.993333,413.131818,16.834882
#7,0.541932,0.025768,590.320428,105.643539,143.921585,147.96602,414.92655,10.626081
#8,0.578446,0.026705,602.10566,109.790892,146.727644,142.760945,406.385919,10.852647
#9,0.5033690000000001,0.047302,609.685917,109.906701,155.203154,145.546208,410.710375,10.515009
#10,0.612326,0.028373000000000002,585.546053,109.898057,146.668971,142.51753,402.685831,11.013257
#11,0.6544690000000001,0.712666,643.011751,131.593124,155.481773,144.088167,429.878943,10.324599
#12,0.60485,0.021355,614.06499,105.997012,157.895641,146.717389,444.450169,11.661308
#13,0.527084,0.017165,608.739158,103.75678,145.608018,141.435301,424.230157,11.186146
#14,0.646609,0.027004999999999998,630.266456,107.805169,152.389576,149.924637,431.019641,10.10122
#15,0.6579740000000001,0.028117,617.245616,112.452139,153.493429,146.763518,442.661369,16.085928
#16,0.51176,0.015524,616.484343,116.893485,143.45876,146.260001,448.865213,14.578525
#17,0.610743,0.038632,607.192105,108.406239,147.372261,145.727625,440.488221,10.345234
#18,0.502441,0.022604,598.04545,115.380947,150.679978,147.576482,437.279264,11.464951
#19,0.520299,0.024219,612.875429,108.542619,146.89831,152.456121,430.830742,11.327485
#20,0.508325,0.02014,620.583071,117.456185,144.397963,140.846237,423.621102,16.438755
#21,0.52161,0.024548999999999998,632.428872,114.703379,155.605178,146.198838,455.361954,14.329122
#22,0.506336,0.026321999999999998,613.029671,109.351724,144.144943,155.182911,474.459322,16.259604
#23,0.516923,0.023830999999999998,641.752861,119.323495,149.439964,145.500992,463.016943,14.484711
#24,0.767322,0.016372,614.107205,116.522521,148.651422,145.99532,460.167857,19.445613
#25,0.53374,0.020193000000000003,619.430746,113.395952,146.962608,147.207524,443.182573,17.579947
#26,0.509189,0.027881,650.002242,112.391285,147.875381,145.749348,439.787245,15.728623
#27,0.62942,0.041584,627.096451,113.125426,148.59999,144.728611,456.171163,15.217022
#28,0.7136330000000001,0.02122,651.134888,117.550307,152.601178,147.201916,454.158569,19.557137
#29,0.546942,0.020420999999999998,605.445011,112.190544,147.947021,147.241734,453.655401,14.060946
#30,0.542061,0.017058,628.031131,114.014567,142.815583,145.544606,461.435504,15.024648
#31,0.548836,0.018219000000000003,619.413124,117.511086,148.068949,146.02123,457.816005,14.784709
#32,0.5012490000000001,0.028257,624.490807,117.609432,146.666831,146.944194,455.730698,14.943065
#33,0.773837,0.021984,637.438586,109.754784,148.015747,146.45808,452.294374,14.27449
#34,0.526096,0.020913,633.553884,120.325645,148.674559,144.964379,448.803615,15.195425
#35,0.586758,0.023643,632.679822,112.639486,153.234137,145.18771,455.720677,14.865093
#36,0.714248,0.019134,632.399185,110.874549,150.041624,150.414128,449.392559,15.063162
#37,0.65658,0.020655,622.844563,109.189657,146.32239,146.923536,461.711451,16.76872
#38,0.668524,0.021488,648.454627,112.817993,144.640819,140.90809,467.666555,14.262732
#39,0.698258,0.023335,671.476646,116.360734,153.305688,150.6166,450.3054,14.750897
#40,0.517047,0.023184999999999997,645.904391,118.069567,148.702035,143.96254,433.146567,18.37296
#41,0.695637,0.016812999999999998,632.710121,111.715166,150.120814,147.093967,488.438784,14.623379
#42,0.486225,0.037096,644.024213,116.073701,148.73183,148.259989,471.056633,27.176487
#43,0.5811660000000001,0.018907,652.892731,116.782776,155.673926,148.518935,479.346415,15.372782
#44,0.6028669999999999,0.024155000000000003,651.835907,111.68675,149.61918,154.34655,473.728679,14.458763
#45,0.630409,0.032443,646.379866,118.829961,149.033167,147.564929,478.774229,16.065881
#46,0.701392,0.022394999999999998,633.526895,111.5437,146.997346,146.282022,497.399854,14.890041
#47,0.599118,0.026483,651.506391,115.517518,148.182083,148.118205,471.540068,14.715034
#48,0.667279,0.02213,644.407303,113.760456,148.395847,150.678567,474.719213,14.690009
#49,0.58448,0.02548,659.493551,111.688512,148.160625,147.338375,481.556672,18.288744
#50,0.525104,0.021976,664.71172,110.86131,152.72779,147.715405,474.992241,13.977478
