iteration,query1,query2,query3,query4,query5,query6,query7,query8,query9,query10,query11
#1,0.492516,0.603074,0.33360700000000004,0.32847699999999996,0.043902000000000004,1195.585384,224.77955,251.086988,243.378646,575.453359,0.53737
#2,0.5136660000000001,0.418036,0.367121,0.370216,0.012063,1067.2695729999998,206.890499,247.485948,248.560808,596.532337,1.381036
#3,0.69667,0.5719650000000001,0.525908,0.523644,0.017192,1114.1770580000002,213.527236,248.900647,244.866694,556.539642,0.481085
#4,0.544865,0.40199599999999996,0.382459,0.377139,0.017704,1104.658674,214.164825,249.814546,245.766696,603.972695,1.042199
#5,0.760199,0.653158,0.499299,0.375606,0.018745,1123.626663,214.953358,257.154776,248.828462,568.003524,0.472789
#6,3.344468,0.519847,0.44692000000000004,0.437382,0.015349,1155.805409,213.456393,250.401369,245.331428,550.049441,0.47003300000000003
#7,0.843175,0.45172,0.418808,0.370096,0.016932,1114.051442,254.297554,252.687497,266.040651,571.095537,0.472028
#8,0.44763200000000003,0.341683,0.315052,0.305665,0.014868000000000001,1071.719499,217.409775,246.345083,243.014993,545.794803,0.588727
#9,0.5318390000000001,0.410071,0.373272,0.364495,0.015058,1074.135611,219.10936,271.495756,260.620712,577.638698,0.487136
#10,1.603375,0.530126,0.404771,0.368452,0.018465,1130.4758290000002,216.027938,256.325647,256.415816,545.725171,0.471216
#11,0.5313490000000001,0.416483,0.362331,0.352653,0.013115,1082.737523,216.893074,253.373837,246.477041,576.805822,0.578628
#12,0.536769,0.617,0.381317,0.36439499999999997,0.046728,1124.921718,209.024442,243.652852,243.283728,544.157013,0.457551
#13,0.542219,0.413207,0.379503,0.36356299999999997,0.015189,1070.3504349999998,210.4548,246.011566,242.164223,539.714913,0.46282999999999996
#14,0.47864999999999996,0.35565800000000003,0.31883,0.369214,0.024876000000000002,1150.873597,238.094833,262.6413,252.511386,546.799862,0.7344310000000001
#15,1.440468,0.34971800000000003,0.301547,0.286619,0.038042,1107.325146,218.165606,248.731259,246.057273,542.788099,0.907766
#16,0.558019,0.39897000000000005,0.378582,0.36577699999999996,0.014066,1115.630441,213.338101,251.321318,246.727813,565.689143,0.46688799999999997
#17,0.49680399999999997,0.385625,0.371719,0.355088,0.012884,1071.411209,213.090145,249.461532,251.260565,549.409237,0.877159
#18,0.49147399999999997,0.348675,0.306847,0.305765,0.024396,1270.401726,249.554446,293.931074,298.21087,586.494958,0.48413
#19,0.6046459999999999,0.352814,0.353585,0.35440699999999997,0.054753,1099.644528,212.23685,247.10361,247.508851,584.578354,0.488789
#20,0.45909300000000003,0.341692,0.30676600000000004,0.29326100000000005,0.015279,1098.386632,211.841116,254.09891,251.174983,558.606769,0.47836900000000004
#21,0.467919,0.338205,0.30458300000000005,0.299122,1.042119,1087.301532,214.118408,249.386471,248.086046,557.060832,0.483379
#22,0.5426599999999999,0.421062,0.369805,0.372971,0.012904,1114.710651,215.601847,255.713626,249.559937,658.847358,0.6231319999999999
#23,0.449425,0.341412,0.311236,0.296537,0.017533,1185.810608,226.442177,266.547082,246.748392,559.252853,0.46504399999999996
#24,2.178145,0.375896,0.327235,0.332745,0.024877,1071.8766340000002,208.527517,244.070397,243.076057,549.111427,0.45634800000000003
#25,0.5594819999999999,0.40560199999999996,0.373993,0.37788099999999997,0.019196,1091.375612,214.126874,250.491518,245.041963,556.998054,0.488047
#26,0.764777,0.608644,0.577937,0.55844,0.016922,1082.3690290000002,217.44439,249.585776,247.927127,547.81512,16.386236
#27,0.581433,0.443704,0.373953,0.398489,0.153659,1139.192156,227.281173,254.148433,262.562792,552.551405,0.47641500000000003
#28,0.540957,0.395754,0.36012700000000003,0.368493,0.014738,1139.7790089999999,209.347348,249.965289,249.369609,549.593493,0.512503
#29,0.862932,0.422785,0.396335,0.396666,0.018314,1143.86983,218.576459,254.134858,247.802142,583.881614,0.48402999999999996
#30,0.507213,0.370056,0.31383999999999995,0.302498,1.137208,1164.048676,219.859982,249.260103,243.935513,579.98572,0.47739800000000004
#31,0.697791,0.565803,0.540325,0.465656,0.041028,1104.9423570000001,248.1626,262.465178,266.184811,649.921257,0.562828
#32,0.492977,0.350649,0.314801,0.310774,0.018444,1216.651578,212.229066,247.037805,246.48147,545.999817,0.468852
#33,0.597423,0.45744,0.403449,0.395513,0.024166,1062.896531,223.25255,252.770773,247.020974,555.668054,0.476325
#34,0.665421,0.546117,0.475664,0.47607499999999997,0.038963,1085.378428,209.403684,252.855774,251.116965,546.761609,0.500751
#35,0.548942,0.395363,0.378632,0.388661,0.040466,1061.0154149999998,208.982433,248.18371,242.820207,569.630542,0.46599599999999997
#36,0.442633,0.32370800000000005,0.31919,0.304533,0.016541,1119.005556,226.552063,272.138755,260.636261,554.961425,0.473551
#37,0.714263,0.628802,0.603234,0.533332,0.039924999999999995,1075.233165,220.011406,259.972723,251.517407,607.839895,13.60659
#38,0.590921,0.443795,0.398659,0.40804700000000005,0.020659,1153.043085,213.640008,250.645819,244.409013,543.599364,0.51563
#39,0.5578690000000001,0.40648399999999996,0.383972,0.376167,0.014096000000000001,1097.5256239999999,214.260435,273.549437,244.312171,543.360526,0.47938200000000003
