iteration,query1,query2,query3,query4,query5,query6,query7,query8
#1,1.649741,0.18828399999999998,1861.792218,338.221909,450.855287,471.764286,1325.902357,29.083426
#2,0.741063,0.046137,1795.385365,321.268257,468.072105,451.906193,1235.478853,27.647938
#3,0.9403680000000001,0.035906999999999994,1826.281749,323.606964,455.37767,443.162806,1281.0808240000001,29.004218
#4,0.556115,0.041868999999999996,1777.71814,313.273758,453.126347,440.519597,1263.613725,28.669538
#5,0.712379,0.066916,1885.901724,331.795238,445.670501,450.15944,1253.46157,28.560012
#6,0.7447,0.025207,1844.2199429999998,331.971108,448.964052,438.519307,1271.955868,28.611219
#7,1.001312,0.047869999999999996,1952.275124,340.427106,494.268684,464.417324,1353.019807,28.981304
#8,0.800836,0.038523,1922.768933,324.004612,442.55824,439.975835,1274.210988,29.498696
#9,0.703302,0.044383000000000006,1860.712929,315.627022,443.874244,440.411744,1276.3690649999999,31.151173
#10,0.716667,0.264587,1939.689994,341.414271,447.927213,455.475364,1238.074572,29.575541
#11,0.6975009999999999,0.060023,1877.83091,335.568782,448.749199,454.93051,1323.307338,29.475713
#12,0.610368,0.028914000000000002,1910.9458960000002,315.073361,451.799653,456.360197,1355.264327,28.478469
#13,0.729191,0.050565,1900.013814,332.203345,445.536899,453.520017,1456.419897,28.437392
#14,0.7373160000000001,0.034655,1933.1916170000002,315.717742,465.960165,470.487566,1336.12724,29.614465
#15,0.73923,0.059993000000000005,2062.826959,327.43478,445.841201,440.388501,1334.826403,28.752654
#16,0.717248,0.043372,2022.761927,313.290028,447.024647,444.774236,1314.47316,29.456297
#17,1.195167,0.025868,1849.789663,316.673399,446.731736,471.418597,1481.514594,29.742705
#18,0.856129,0.046367,2049.1773279999998,313.655816,463.077917,454.323889,1298.432174,29.174888
#19,0.6910890000000001,0.044805,1870.842332,316.355402,454.906043,435.443073,1355.743347,31.882859
#20,0.6576069999999999,0.036529000000000006,2141.518097,316.958014,472.609997,441.161303,1353.721616,43.6175
#21,0.729721,0.04814,1915.944774,326.686644,450.535878,444.458953,1458.122057,36.534143
#22,0.7728630000000001,0.052107999999999995,2004.7866339999998,327.095602,464.890404,464.080752,1477.5135619999999,36.586141
#23,0.5998479999999999,0.021862,2020.0025500000002,326.16859,467.386036,447.396095,1429.324709,37.071043
#24,0.722128,0.070052,1946.4571859999999,323.850792,453.825752,450.150713,1539.770083,37.954313
#25,0.726496,0.061566,1996.745607,313.061198,449.518745,465.096261,1561.147022,36.652506
#26,0.7297319999999999,0.042871,1927.567063,320.116271,448.171643,446.727578,1539.516878,45.105357
#27,0.640393,0.06296800000000001,2081.0399190000003,327.892921,449.710766,457.851551,1462.483707,42.91014
#28,0.751403,0.032661,2044.8794779999998,340.23807,451.009828,444.480794,1464.0781240000001,36.510779
#29,0.752795,0.027832,1923.996801,334.448927,462.435329,449.672234,1626.9723410000001,37.599927
#30,0.791818,0.05319,1964.070569,323.201151,479.347934,445.766782,1439.201847,36.992095
#31,0.714744,0.040426000000000004,2105.803444,371.382761,449.950277,450.897167,1657.823311,38.251913
#32,1.191761,0.040877000000000004,1966.839795,318.964095,456.561685,459.918176,1656.943757,37.906143
#33,0.623983,0.037541,1925.925407,320.580153,449.79305,443.097153,1543.9812299999999,37.67045
#34,0.775678,0.032140999999999996,2086.212754,322.969686,452.445026,446.950817,1427.192981,37.961126
#35,0.742306,0.03194,1938.681649,320.372313,447.785306,443.210426,1480.567154,37.076193
#36,0.727928,0.040947000000000004,1913.692199,340.31248,467.35697,455.135314,1594.017367,40.177492
#37,0.963661,0.071645,2052.5271049999997,327.119487,504.047178,521.584037,1544.1119860000001,37.49012
#38,0.81937,0.036409,2074.4312250000003,323.356453,456.727859,477.731805,1694.154422,39.406113
#39,1.005771,0.032841999999999996,2048.2902599999998,320.486798,452.001643,444.266,1540.572001,37.250561
#40,0.754879,0.037039,2021.07227,320.80732,446.837445,439.907726,1543.7641529999999,46.525607
#41,0.687322,0.047850000000000004,2141.995273,334.695019,469.56921,444.061586,1573.9179199999999,37.657114
#42,0.769747,0.035927,2010.260986,323.160194,452.687442,465.745,1662.77531,37.278583
#43,0.7644070000000001,0.057999,2243.8595960000002,324.571677,474.029655,452.575622,1656.735465,36.939225
#44,0.785166,0.042961,2061.7038270000003,339.513006,449.823128,469.779566,1599.1631610000002,36.92575
#45,0.6281100000000001,0.04256,2020.557543,333.1902,455.825332,511.752854,1653.210939,38.886977
#46,0.7447,0.039434,2030.7292860000002,337.631008,456.157255,464.988949,1580.333261,37.54848
#47,0.719874,0.115187,2036.678099,320.715859,462.615096,446.117911,1676.822158,39.087434
#48,0.9211520000000001,0.078377,2218.380356,352.645025,482.554331,467.605939,1696.433347,37.36741
#49,0.6166900000000001,0.0315,1975.567643,328.648001,452.668687,451.299673,1697.0757039999999,36.878801
#50,0.762313,0.050455,2353.9548419999996,472.356249,539.216074,491.280687,1746.336654,38.302759
