iteration,query1,query2,query3,query4,query5,query6,query7,query8,query9,query10,query11
#1,0.7094320000000001,0.40126,0.334933,0.31225,0.018115,2450.645687,8443.000569,8531.604126999999,8401.961076,668796.98882,2.829338
#2,0.48546,1.557135,1.16076,1.253673,0.086148,2485.35822,9449.053808,9716.558562,9575.40164,728765.790475,4.703895
#3,0.595131,2.85051,2.481258,2.382838,0.037001,2467.260672,10720.5936,10745.77604,10829.06801,829071.779841,8.467221
#4,0.506233,3.881646,3.864107,3.802119,1.113154,2767.912257,12035.041735,12146.135027,12095.687681,888282.854762,11.457985
#5,0.493631,5.661954,5.812677,5.705866,0.191586,2471.1642500000003,14064.873031,14018.631303999999,13809.493123999999,975405.158648,15.02342
#6,0.676648,7.926725,7.541852,7.54873,0.03469,2580.418016,16017.32222,15966.550378999998,16266.6817,1063856.897733,17.906423
#7,0.48125,8.930837,9.097533,9.804855,0.050662,3138.691342,17192.220179,17466.772078,17443.926679,1139538.034617,20.911177
#8,0.554403,12.261343,15.016057,12.812494,1.348593,2765.9194770000004,18398.098321999998,18921.586506,18761.404556999998,1226531.8162399998,24.917821
#9,0.5101870000000001,12.781257,12.665985,12.759272,0.032993,3183.8202309999997,21647.091428,21039.270663,21001.565946,1374904.123102,27.239062
#10,0.498905,13.506589,14.066056,13.797536,0.038573,3126.7683349999998,22085.137081999997,22195.714518,22368.510522,1411175.872398,29.693096
