iteration,query1,query2,query3,query4,query5,query6,query7,query8
#1,0.927746,0.052814,2145.693035,8249.175697,8350.588473,8391.620971,657455.2042950001,2.321721
#2,0.538697,0.043421,2183.2367910000003,9524.716306,9550.654417,9523.34439,739521.0085989999,5.733641
#3,0.46493,0.029223,2244.930741,11252.527121,11353.618757,11295.982025000001,827937.5147419999,8.474198
#4,0.499056,0.031874,2292.680586,12433.247851999999,12637.729774,12501.373764,866093.283487,10.79249
#5,0.498759,0.027593,2286.2052369999997,13693.608623,13825.627966,13827.555546,962671.7652050001,14.343377
#6,0.827868,0.044725,2482.24997,15462.067377000001,15691.136719999999,15552.864341999999,1025002.0094209999,17.689173
#7,0.577153,0.016231000000000002,2270.1768690000004,16544.390228,16640.175434,17159.386127,1099729.9258400002,20.40265
#8,3.863905,0.031303,2322.146723,18279.164746,18384.12012,18326.614168,1205834.037383,22.23174
#9,0.525987,0.016725999999999998,2470.883798,19736.561997,19965.356035,19848.182616,1279219.555737,24.465053
#10,0.487905,0.019126999999999998,2443.8708349999997,21056.393183,21095.038598,21089.96212,1370960.147223,28.251945
