iteration,query1,query2,query3,query4,query5,query6,query7,query8
#1,0.666077,0.03128,673.923398,5717.119468,1126.82781,1043.5886,139624.449693,1.895355
#2,0.657698,0.016224,796.825798,6157.905326,1936.3307300000001,1724.561428,177511.574851,2.960963
#3,0.566665,0.01761,793.184269,6772.618017,6912.183620000001,3385.96503,242075.248533,4.258193
#4,0.499184,0.021337,760.353381,7313.3677370000005,7400.316953,4760.945802,276715.992072,6.520785
#5,0.636899,0.017041,842.924356,8829.096044,9145.466727,6943.005047,343102.366113,8.740287
#6,0.58687,0.014957000000000002,848.914313,9692.882074,9884.647256999999,7155.305633,386208.20962200005,9.23014
#7,0.559601,0.01348,821.256731,10153.276008,10206.798959,8351.215274,418205.63225799997,10.672178
#8,0.692605,0.021919,870.2477,12222.850962,12289.068566999998,9670.469971999999,481172.506478,12.437286
#9,0.486202,0.046671,842.392471,11423.548401,11805.302034,9915.130003,505441.010001,14.33701
#10,0.638631,0.015207,809.8614,12912.863744999999,13425.993919,11194.39423,560386.077653,15.908772
