iteration,query1,query2,query3,query4,query5,query6,query7,query8
#1,1.276269,0.122811,1265.130256,303.278306,432.081784,432.131728,730.465078,0.722398
#2,0.80838,0.04279,1326.6465059999998,300.645366,439.277492,424.95698,719.472553,0.47146699999999997
#3,0.672164,0.029866,1342.4143390000002,305.273166,433.585962,438.243388,695.159014,0.477708
#4,0.5430710000000001,0.044173000000000004,1307.945679,294.260263,431.597244,457.078076,755.124938,0.493307
#5,0.651054,0.025178000000000002,1365.772231,296.236057,429.762424,431.451058,721.507228,0.6643089999999999
#6,0.429057,0.02639,1301.659732,296.006054,435.681562,444.803501,742.731859,0.48456099999999996
#7,0.540797,0.018044,1339.391797,315.24838,452.776059,426.507224,719.531102,0.494079
#8,0.519086,0.055033,1330.823248,302.2379,430.16958,427.375376,716.834382,0.483769
#9,0.560033,0.032872,1346.432423,301.330515,444.745933,472.211467,919.454864,0.482837
#10,0.46317,0.021952000000000003,1474.1430360000002,308.55167,471.448653,453.852031,700.392372,0.464092
#11,0.543602,0.018274000000000002,1299.12193,299.640708,441.79802,430.46777,703.570056,0.474582
#12,0.578567,0.026941,1306.4892610000002,296.470858,433.596151,428.473461,716.255935,0.477337
#13,0.594628,0.033603,1344.544815,294.209557,458.295776,459.609466,757.273487,15.238919
#14,0.577386,0.018716,1395.59619,307.177216,428.367131,425.097394,727.798836,0.480834
#15,0.521901,0.028413,1299.227729,300.968373,435.076094,430.695508,713.26888,0.5106
#16,0.463492,0.016702,1312.99431,305.779198,461.285236,454.896866,770.792553,0.46672800000000003
#17,0.491834,0.020398,1332.172174,297.730496,435.804973,426.626108,713.872615,18.162555
#18,0.474852,0.024256,1338.865006,301.577459,432.080692,431.838597,751.331366,0.482186
#19,0.5829460000000001,0.038643000000000004,1300.944567,296.582398,426.736986,437.259428,803.429179,0.49351799999999996
#20,0.575021,0.033603,1349.7191520000001,303.673289,438.397658,427.386407,707.992991,16.698162
#21,0.561556,0.023554,1328.470815,298.143844,432.599618,430.518305,705.480708,16.375255
#22,0.600529,0.0319,1279.953344,298.342277,435.616429,427.408638,744.224265,0.529866
#23,0.582245,0.019207000000000002,1495.796695,338.166776,490.363132,486.806826,739.51933,0.5326620000000001
#24,0.5254880000000001,0.037761,1293.19103,293.851975,427.852664,427.10596,724.922368,0.50507
#25,0.5687190000000001,0.029305,1311.439527,299.607666,428.479381,428.468661,868.044404,15.752184
#26,0.813239,0.032021,1432.01152,346.86052,430.463372,433.540206,718.789568,0.488068
#27,0.65938,0.030978000000000002,1315.327246,302.481198,431.176873,463.476866,741.71649,0.477157
#28,0.714924,0.039905,1340.180619,332.980275,441.215536,425.65412,722.447325,0.516411
#29,0.598456,0.027611999999999998,1335.725685,300.473884,429.676903,464.936701,768.747177,14.079579
#30,0.579729,0.033893,1348.494199,300.521013,437.311957,456.467849,795.510472,0.493898
#31,0.58526,0.023494,1391.078206,295.533958,439.195016,436.716678,738.099561,0.51622
#32,0.601921,0.023273,1289.475284,309.27506,432.16489,462.828478,733.949008,0.497165
#33,0.6928730000000001,0.022442,1358.792529,302.220287,449.597924,450.748237,819.268907,13.868352
#34,0.554002,0.024937,1316.162536,314.793965,433.672094,428.798081,717.925463,0.479572
#35,0.581082,0.0375,1293.773666,300.292022,431.458101,425.486515,735.659874,0.511382
#36,0.483329,0.020978999999999998,1429.2084499999999,307.40828,433.331754,475.805033,782.760001,0.488238
#37,0.768905,0.017473,1323.200919,339.847816,445.151104,443.272963,766.223353,18.473761
#38,0.56902,0.018995,1291.348125,299.434851,428.054042,423.347714,707.548064,0.496173
#39,0.584619,0.044694000000000005,1435.4662540000002,312.952083,510.519145,482.706778,742.551971,0.503997
#40,0.6261570000000001,0.020769,1288.942013,297.953135,428.606902,429.572256,763.59909,0.513636
#41,0.514737,0.034565,1299.5124440000002,300.87102,428.392148,430.107122,762.51976,1.313158
#42,0.565393,0.022442,1383.880515,334.770912,453.295215,458.504589,725.057732,0.508807
#43,0.468351,0.114726,1328.9126959999999,303.95571,427.401825,428.36116,705.836287,0.501543
#44,0.598696,0.215815,1315.6173410000001,301.9075,428.80268,424.187593,707.246017,0.979191
#45,0.572757,0.016329999999999997,1286.849008,295.924301,429.800225,427.128552,736.520091,15.22857
#46,0.567727,0.022222000000000002,1362.876368,297.011074,428.871539,429.082185,723.685863,0.493197
#47,0.538702,0.031379000000000004,1297.79735,303.075565,432.074169,425.146957,781.101133,0.491274
#48,0.597854,0.016772,1290.969965,304.256776,432.849898,430.618072,730.761365,0.475674
#49,0.6106480000000001,0.36323300000000003,1434.435036,315.607685,440.614907,430.38315,781.422056,0.738749
#50,0.7588769999999999,0.020519,1304.431442,297.280891,435.514778,431.717008,732.959968,16.191509
