iteration,query1,query2,query3,query4,query5,query6,query7,query8,query9,query10,query11
#1,0.730433,0.943083,0.525248,0.506993,0.040697000000000004,2262.879002,348.535118,475.972758,455.283473,1485.03351,39.100177
#2,0.713361,0.53185,0.496444,0.492516,0.046438,2328.2480250000003,325.467331,480.631387,445.864496,1502.0942539999999,37.290455
#3,0.719012,0.5591820000000001,0.5165510000000001,0.522923,0.061977,2151.99359,353.979975,466.24497,477.722327,1504.994807,36.76101
#4,0.849637,0.5354869999999999,0.49280599999999997,0.502425,0.047119,2170.5716270000003,322.287914,503.344316,461.136747,1556.627275,37.09604
#5,0.753327,0.531769,0.512334,0.487516,0.028673999999999998,2189.067618,329.579472,453.526881,458.196219,1551.1569510000002,39.789483
#6,0.745872,0.545786,0.547319,0.544233,0.054062,2135.0494360000002,319.080314,452.424037,456.35096,1520.699582,39.139311
#7,0.62779,0.438073,0.399872,0.397438,0.040085,2095.387913,323.39183,474.478659,452.40944,1677.297422,43.055654
#8,0.6513450000000001,0.481085,0.444596,0.46433300000000005,0.12412300000000001,2302.706788,323.212602,456.82966,458.617752,1490.29411,38.04851
#9,0.755471,0.5611349999999999,0.5084460000000001,0.519146,1.150784,2213.605569,329.346804,456.174548,450.201058,1524.4917309999998,39.865346
#10,0.693644,0.459764,0.45434399999999997,0.451129,0.038062,2276.072806,337.772715,506.61205,499.837414,1482.014214,49.690127
#11,0.961307,0.614375,0.519967,0.6256860000000001,0.071023,2410.441757,339.630688,477.210094,478.374112,1513.63514,37.390443
#12,0.69704,0.478319,0.44175099999999995,0.43604000000000004,0.029736000000000002,2342.200755,355.133694,484.596671,469.913838,1581.139898,39.71323
#13,0.7623329999999999,0.5376810000000001,0.5085459999999999,0.48898899999999995,0.041989,2530.809546,377.232809,466.510009,452.108594,1616.619238,37.491443
#14,1.283803,0.546177,0.5247459999999999,0.501383,0.041678,2354.429976,333.04107,478.107612,501.673995,1619.8109789999999,36.878962
#15,0.735904,0.5387029999999999,0.518285,0.502424,0.048390999999999997,2243.3945519999997,330.644034,462.851831,453.206568,1634.468895,37.362992
#16,0.731385,0.551707,0.498928,0.498367,0.048451,2338.8879469999997,339.902539,472.145183,468.972448,1625.717122,37.52716
#17,0.624524,0.47654599999999997,0.467168,0.41668299999999997,0.047359,2269.926371,335.832257,456.604065,463.429357,1562.030984,36.87811
#18,0.772602,0.56962,0.536409,0.518706,0.030888000000000002,2247.9839890000003,325.963494,476.354697,487.773704,1660.337678,37.192792
#19,0.772462,0.545786,0.514657,0.492546,0.06369,2219.7847460000003,328.27017,459.050084,450.375365,1637.473003,45.281588
#20,0.758536,0.5336839999999999,0.5369400000000001,0.50013,0.068309,2320.692921,350.425963,490.887557,473.006081,1626.409293,38.082304
#21,0.841672,0.7000660000000001,0.678135,0.758366,0.773595,2218.512635,328.330173,461.024075,459.748637,1654.416566,36.406994
#22,0.7393099999999999,0.54834,0.514467,0.495471,0.033663,2236.14362,328.058443,461.665821,456.861519,1691.7262680000001,37.058299
#23,0.7951950000000001,0.630105,0.547269,0.547389,0.050735,2293.21336,356.568151,495.401865,516.648908,1699.739272,37.24511
#24,0.742456,0.508697,0.48977,0.476346,0.035947,2256.886035,329.324312,464.103754,460.54286,1661.034838,38.003095
#25,0.726186,0.56936,0.5733680000000001,0.53211,0.051627,2284.927963,321.028306,465.208552,465.538773,1662.616061,37.330411
#26,0.76642,0.541408,0.536789,0.497926,0.6364460000000001,2201.780549,335.025691,456.726927,449.55853,1612.807603,37.260279
#27,0.7592279999999999,0.557558,0.53759,0.514938,0.065513,2370.270125,335.823401,487.171071,451.290787,1651.024269,37.202821
#28,0.7530950000000001,0.508306,0.455486,0.469723,0.055525,2365.637475,323.638102,471.020689,454.561636,1635.89715,37.110256
#29,0.6598010000000001,0.5,0.479491,0.446279,0.058661000000000005,2591.8257750000002,350.776862,513.517992,483.524886,1665.095693,37.00536
#30,0.777471,0.56389,0.517894,0.508485,0.055204,2245.4480430000003,320.937475,452.683876,457.393861,1681.1435020000001,79.337673
#31,0.725274,0.6384610000000001,0.5954299999999999,0.6381100000000001,0.061085,2617.0968239999997,350.960188,456.12207,455.71812,1741.151787,37.391625
#32,0.791117,0.6052179999999999,0.5371900000000001,0.545245,0.032461,2283.3383550000003,321.238932,456.710827,453.201849,1681.0041410000001,38.370696
#33,0.678135,0.513155,0.454023,0.469863,0.043301,2392.8136860000004,330.114188,488.192912,476.110227,1681.0198,37.263956
#34,0.755761,0.5823550000000001,0.5363490000000001,0.529556,0.052027000000000004,2341.996381,325.460298,467.726015,473.428275,1698.483221,37.649981
#35,0.809191,0.588035,0.69697,0.613563,0.047049,2485.83265,333.437065,461.2767,471.671903,1628.825495,37.378972
#36,0.894051,0.6846570000000001,0.6415660000000001,0.605529,0.056176000000000004,2400.621565,323.132672,461.70208,454.85141,1635.613658,39.379232
#37,0.7972079999999999,0.573619,0.541077,0.530357,0.036478000000000003,2560.678338,323.632441,464.057788,460.437963,1686.590021,37.248336
#38,0.853735,0.6066309999999999,0.554813,0.5626180000000001,0.056606000000000004,2530.014832,322.658191,465.190177,480.347172,1716.534687,39.770117
#39,1.103745,0.867451,0.757303,0.572787,0.061536,2482.517938,345.336956,464.571163,471.695066,1703.3604389999998,44.378832
