iteration,query1,query2,query3,query4,query5,query6,query7,query8
#1,0.668793,0.072879,1602.711517,307.257702,393.658953,397.202337,1233.5668529999998,21.844153
#2,0.47795499999999996,0.039423,1667.81372,321.567135,393.089202,389.297249,1194.9488290000002,22.514974
#3,0.526748,0.031547,1643.864536,296.567221,427.868002,391.142631,1220.235673,22.497633
#4,0.479597,0.035033,1678.189151,301.118994,388.533325,407.769739,1198.333973,24.383779
#5,0.49032600000000004,0.043802,1733.0982290000002,296.490622,398.852507,401.193579,1208.726224,22.239502
#6,0.48282600000000003,0.047195,1670.4217800000001,299.295728,394.517613,430.286962,1225.905869,21.756999
#7,0.485072,0.042207999999999996,1704.853887,296.357094,394.399641,397.646361,1186.6153290000002,22.029251
#8,0.5434479999999999,0.031244,1704.9630849999999,304.033903,404.712462,400.990681,1247.122325,22.119061
#9,0.49945999999999996,0.062752,1759.835389,295.180278,397.284011,420.596954,1214.3794830000002,22.669174
#10,2.467162,0.033957999999999995,1722.104834,304.121166,394.556495,393.845899,1205.4007849999998,21.722464
#11,0.505831,0.020632,1699.204176,309.584384,396.691725,400.397897,1293.581498,21.882559
#12,0.9084030000000001,0.031817,1712.010577,299.04797,425.858518,398.900146,1322.095938,22.551177
#13,0.52111,0.022675999999999998,1779.7075550000002,312.588796,415.268337,408.379554,1254.831934,22.08131
#14,0.757698,0.046444,1707.006108,322.904832,429.557724,456.28288,1369.630655,22.004975
#15,0.513448,0.042406,1736.806167,306.791158,414.08837,405.228422,1320.899166,22.238334
#16,0.60414,0.030195,1746.693393,300.286726,396.318793,398.499822,1279.725183,22.741319
#17,0.523422,0.058224,1779.464319,294.671492,396.187388,408.541266,1263.576641,22.09818
#18,0.47222699999999995,0.03789,1713.703473,309.313008,395.527792,394.208928,1299.430889,21.721492
#19,2.744287,0.041615,1756.703291,335.766095,407.43013,396.321441,1316.4547049999999,22.58374
#20,0.503213,0.030202000000000003,1800.872989,292.737406,396.814757,399.112451,1210.951149,29.494527
#21,0.47483,0.034844,1775.686907,304.896044,397.714029,397.39283,1395.925842,28.315391
#22,0.499268,0.028297,1806.836109,302.576726,396.674844,422.301816,1381.471461,27.562784
#23,0.492089,0.032904,1808.998652,310.404914,416.442906,415.865404,1390.571856,28.953761
#24,0.5253819999999999,0.03427,1803.239965,306.60148,406.001593,397.524571,1392.961109,28.443306
#25,0.48485199999999995,0.030690000000000002,1769.171063,323.406698,402.452085,398.859393,1408.239899,28.322318
#26,0.536907,0.037069000000000005,1886.246316,300.735539,401.007646,413.885056,1426.944518,28.434878
#27,0.527953,0.023638000000000003,1796.611524,306.108513,391.144635,393.899477,1393.708929,28.516737
#28,0.567477,0.053238999999999995,1967.783797,300.985189,421.620581,396.645705,1485.075699,27.666288
#29,0.52746,0.021474,1812.2632190000002,303.386264,402.305169,396.877824,1393.233034,27.990949
#30,0.5574969999999999,0.023909,1793.994341,300.048194,418.161719,400.08867,1391.326662,28.307897
#31,0.571724,0.07400799999999999,1784.763609,303.134781,406.249498,428.883611,1398.14548,29.661795
#32,0.526452,0.038496999999999997,1840.3813989999999,312.940383,411.22274,416.761571,1399.268342,28.41705
#33,0.504918,0.04875,1892.288594,295.116102,397.86197,399.139207,1388.1736629999998,28.47614
#34,0.5246230000000001,0.042237000000000004,1817.373907,316.805725,431.472861,409.353869,1437.557749,28.436914
#35,0.569202,0.122472,1804.8104540000002,302.680041,414.306433,401.445525,1432.389441,28.301129
#36,0.482055,0.040068,1812.663084,292.154401,414.608692,422.608245,1416.274058,27.96268
#37,0.529606,0.0313,1768.1379559999998,301.292537,393.235378,399.90582,1468.518951,27.899339
#38,0.496438,0.027033,1807.4647960000002,300.381137,392.961332,411.936324,1423.1384469999998,28.159362
#39,0.557096,0.024451,1843.980842,301.428037,410.895694,407.074206,1406.460915,28.413452
#40,0.512149,0.030974,1892.5037579999998,306.394082,414.581805,457.546354,1543.675556,40.866702
#41,0.535815,0.027836,1849.9157440000001,305.216827,404.768437,423.88202,1461.9375949999999,28.115622
#42,0.523535,0.022643999999999997,1918.466972,297.061325,399.976432,409.193494,1402.419587,28.678742
#43,0.516605,0.045925,1839.184453,306.441768,404.318581,397.943759,1484.7992270000002,28.902654
#44,0.5018670000000001,0.028576,1929.0251039999998,298.126782,412.577887,406.625895,1468.543079,27.875392
#45,0.535682,0.029323000000000002,1861.429613,300.248614,405.984075,404.434332,1428.844372,28.943675
#46,0.5270199999999999,0.048901,1787.720285,299.72514,395.394577,413.386193,1453.206631,28.634119
#47,0.511868,0.04611,1890.792904,307.265206,404.650677,403.399508,1597.8058879999999,31.900033
#48,0.501962,0.038306,1848.548235,307.884426,410.488884,425.156404,1457.893551,28.007527
#49,0.516411,0.025849,1879.967779,307.120831,406.730791,406.866079,1510.7453209999999,28.841553
#50,0.556509,0.039509,1874.892412,301.506725,398.533202,418.174091,1528.023877,29.027717
