iteration,query1,query2,query3,query4,query5,query6,query7,query8,query9,query10,query11
#1,0.50827,1.143759,0.337675,0.27071,0.024831,566.503905,98.548411,134.192503,130.546799,378.362682,10.823416
#2,0.5891689999999999,5.838206,0.424255,0.305164,0.014366,590.081845,98.43612,131.7609,133.183887,368.317464,9.781036
#3,0.49687200000000004,0.336975,0.341345,0.239931,0.022272,600.78483,103.964655,139.583133,134.868945,393.974453,10.172113
#4,0.386279,0.31850599999999996,0.273575,0.24231999999999998,0.015567000000000001,592.331294,98.281547,132.686787,140.736877,370.698112,11.43093
#5,0.488801,0.507904,0.33127,0.311576,0.016815,604.470737,95.037966,134.365034,130.770738,377.817943,10.51881
#6,0.485452,0.39509500000000003,0.346352,0.316771,0.021550999999999997,614.427925,96.273779,129.567304,132.272725,386.844766,14.763777
#7,0.519787,0.43305,0.309063,0.277294,0.01736,601.662207,101.401489,128.06428,131.173769,391.595679,9.447734
#8,0.397363,0.320047,0.283899,0.233035,0.014603999999999999,607.171558,102.00343,135.398505,131.159869,374.339784,9.939815
#9,0.505653,0.39456,0.38916,0.301037,0.01632,583.45836,97.415746,131.561087,133.832465,380.069657,10.487266
#10,0.42018099999999997,0.311545,0.282808,0.230579,0.021007,594.596045,101.480109,134.583819,130.151235,376.31821,13.133786
#11,0.49776600000000004,0.368558,0.363834,0.28955000000000003,0.021942,595.942172,101.717856,136.269806,129.260013,415.758302,15.882501
#12,0.407302,0.439298,0.293358,0.306437,0.025938,627.62949,113.811861,140.061522,129.16147,406.481693,13.074809
#13,0.451654,0.32420800000000005,0.223257,0.227785,0.018794,641.930467,105.359341,133.061654,132.365972,398.238248,12.631184
#14,0.459443,0.38575099999999996,0.277543,0.261531,0.014776999999999998,615.856912,103.07005,135.814343,133.73739,392.446779,12.782331
#15,0.44863600000000003,0.349426,0.327452,0.306585,0.018449,602.393179,104.162536,138.42746,130.988249,394.251475,10.525
#16,0.491436,0.37988900000000003,0.279168,0.31476499999999996,0.017619,615.429244,105.208165,130.75972,131.224904,393.791353,10.840599
#17,0.48007799999999995,0.42088600000000004,0.372076,0.28561200000000003,0.01946,616.838198,106.39613,136.385479,131.812567,396.571941,11.337115
#18,0.728653,0.484677,0.40845299999999995,0.373339,0.016793,606.048548,105.096247,134.058153,132.458233,408.904497,12.932083
#19,0.426149,0.362131,0.26119,0.24104599999999998,0.020538,606.533708,102.69878,133.400702,131.496393,407.767356,9.94571
#20,1.792847,0.30774900000000005,0.283648,0.5777129999999999,0.393152,618.596718,104.796264,135.34113,135.254622,409.420696,11.351307
#21,0.49511099999999997,0.357047,0.299506,0.29196,0.019876,598.958122,100.260029,131.981285,132.332515,397.138081,12.766061
#22,0.615077,0.411839,0.412248,0.39494799999999997,0.013534000000000001,602.918813,101.311755,133.382331,131.335102,385.148844,10.40466
#23,0.511527,0.40099599999999996,0.477348,0.408345,0.016818000000000003,588.982516,103.503209,138.088781,131.425605,384.064782,11.20329
#24,0.409225,0.395418,0.48668599999999995,0.345845,0.023518999999999998,601.630209,104.077766,135.071362,130.754142,392.517506,12.065857
#25,0.522865,0.569764,0.421997,0.36439299999999997,0.02845,594.522248,100.986718,134.188368,136.404794,394.221826,9.881436
#26,0.467654,0.394091,0.344125,0.399702,0.016075,600.439417,104.721959,133.655476,132.473031,393.723343,11.221096
#27,0.495106,0.409342,0.35970100000000005,0.292754,0.022019999999999998,618.749753,95.22583,130.992513,133.614926,410.228193,10.416154
#28,0.539749,0.370621,0.389375,0.320118,0.016061,614.312579,105.039211,131.493096,128.303486,421.146796,11.513198
#29,0.451001,0.423268,0.336476,0.286916,0.018156,656.677429,105.129569,134.856626,134.031741,404.391395,11.845304
#30,0.429789,0.318255,0.272038,0.22778800000000002,0.023021999999999997,635.583559,102.020416,132.838225,131.443487,374.872987,15.747578
#31,0.441976,0.377133,0.291151,0.360396,0.019542999999999998,607.750027,101.162616,134.313878,137.942379,402.800123,10.139532
#32,0.38754,0.294233,0.269853,0.294675,0.018926,636.990299,107.380879,134.401611,134.071457,427.782905,12.233339
#33,0.400169,0.289222,0.358919,0.24822300000000003,0.015807,652.906173,99.532037,135.557373,135.726327,387.835631,11.132128
#34,0.44909,0.32861,0.25893900000000003,0.24984399999999998,0.024272,620.152594,94.079668,134.148782,130.704767,383.392236,11.470357
#35,0.680547,0.35432400000000003,0.319884,0.297177,0.016867,589.848974,102.257914,135.54457,130.474084,390.586433,13.282227
#36,0.6142329999999999,0.360345,0.352563,0.32360500000000003,0.01595,601.554821,100.166133,135.127708,132.16885,387.796704,9.405803
#37,0.42007799999999995,0.34967899999999996,0.27870100000000003,0.28048,0.016271,589.364867,104.925535,132.776358,135.677357,373.445336,9.849192
#38,0.486048,0.4569,0.370042,0.43188,0.019841,596.788124,105.546687,132.032716,131.95891,395.428901,15.156385
#39,0.46684800000000004,0.36884300000000003,0.340208,0.282048,0.016305,585.396826,109.003109,131.30434,134.150062,397.044921,12.206303
#40,0.47375900000000004,0.350649,0.25993099999999997,0.292877,1.050712,587.727845,108.546694,131.383748,136.813376,390.93592,10.507929
#41,0.42976,0.338849,0.248919,0.22400399999999998,0.054776000000000005,584.831453,103.99974,129.186622,130.536058,393.334211,11.63512
#42,0.476742,0.283737,0.242837,0.234702,0.016757,608.007162,102.598011,135.123431,132.845262,391.51055,10.190908
#43,0.48250299999999996,0.328544,0.29703199999999996,0.235527,0.016595,604.774253,104.219026,132.517611,131.267455,390.848564,11.317037
#44,0.395383,0.290742,0.6812010000000001,0.312446,0.015513,613.010493,103.899585,133.650698,134.091599,391.857005,32.956933
#45,0.482576,0.340784,0.243346,0.231387,0.024143,613.45328,100.958753,135.395214,134.994562,405.315487,14.426044
