iteration,query1,query2,query3,query4,query5,query6,query7,query8,query9,query10,query11
#1,0.591384,1.28062,0.354387,0.44362999999999997,0.021307,668.70237,113.284095,150.704493,151.611189,491.112237,15.277611
#2,0.592245,0.6264500000000001,0.50058,0.589022,0.02442,680.222487,116.611596,150.800892,147.893179,482.39426,16.594395
#3,0.689176,0.43075,0.440461,0.502514,0.016815999999999998,669.652988,117.290224,149.870872,145.640527,459.043991,15.175511
#4,0.8645259999999999,0.676922,0.59903,0.439523,0.020079999999999997,682.989911,119.114018,139.775286,149.871858,461.76596,16.841259
#5,0.707037,0.57513,0.504659,0.493725,0.026697,701.547603,119.547139,154.176674,151.577196,492.848267,23.352069
#6,0.93491,0.6038920000000001,0.520897,0.37884500000000004,0.055367,697.312349,117.925315,147.651014,147.787688,475.419025,17.142625
#7,0.718153,0.469001,0.333901,0.460331,0.02572,692.45905,120.766125,150.710394,146.952702,466.853159,15.045343
#8,0.817406,0.545412,0.407737,0.353989,0.017467,667.029074,114.829418,152.209037,147.480355,453.27941,17.758198
#9,0.5723809999999999,0.42160000000000003,0.351661,0.36649400000000004,1.035006,655.391296,113.716348,145.321651,146.749916,458.553098,16.798223
#10,0.597333,0.414797,0.604288,0.494382,0.020886,677.45307,117.814073,147.549684,151.243823,428.507461,19.864593
#11,0.5482279999999999,0.706061,0.392435,0.575727,0.017100999999999998,704.133609,119.719842,149.295612,148.205159,459.328871,16.082376
#12,0.5350779999999999,0.37641699999999995,0.329609,0.54634,0.016707999999999997,669.198893,119.792796,147.262346,152.921572,471.5109,16.307907
#13,0.53297,0.43250900000000003,0.43945,0.307608,0.021076,692.364318,116.321679,149.875472,146.626153,491.556022,17.353815
#14,0.5402100000000001,0.375567,0.579429,0.752464,0.026261,684.604196,112.583635,153.257353,149.109317,477.689062,17.835165
#15,0.57262,0.536333,0.35880900000000004,0.38714,0.022081,697.370703,114.943046,149.775275,146.409787,511.821556,17.733069
#16,0.566894,0.35151699999999997,0.31313799999999997,0.6455919999999999,0.025235,710.126394,138.540216,152.80068,151.504142,483.709547,15.147843
#17,0.5592849999999999,0.41544099999999995,0.42592399999999997,0.424546,0.014446,671.290117,118.32598,152.363654,149.427168,484.196444,17.305793
#18,0.711542,0.413231,0.412477,0.33188799999999996,0.015894,683.210319,121.312499,151.747703,148.322224,484.934732,14.943203
#19,0.5706100000000001,0.383841,0.40749,0.520346,0.019715,680.741486,115.82016,151.142476,147.727276,476.645275,14.227913
#20,0.925202,0.608127,0.6334420000000001,0.448258,0.03387,667.655941,109.41745,146.855958,148.268712,498.272559,18.401309
#21,0.6297039999999999,0.413196,0.354536,0.302721,0.017471,709.441799,117.634606,151.298128,155.233007,483.500983,15.602171
#22,0.582218,0.332067,0.267163,0.24851099999999998,0.016815999999999998,687.241634,122.272234,150.016729,148.54044,530.031746,17.848162
#23,0.563554,0.369999,0.30047,0.311714,0.015672000000000002,696.920764,121.252065,152.161282,148.960497,496.396013,15.655734
#24,0.6170739999999999,0.380406,0.447022,0.38492899999999997,0.018626999999999998,692.233872,117.204439,149.860587,149.43218,506.580964,18.087274
#25,0.7213930000000001,0.643683,0.420801,0.30442,0.017567,703.882807,119.207392,149.456047,149.796947,503.684663,15.25239
#26,0.7781140000000001,0.506403,0.43280799999999997,0.438873,0.016183,707.193054,121.91257,157.587261,153.53672,501.985166,14.542154
#27,0.8306870000000001,0.5655739999999999,0.376755,0.482885,0.027278,705.597462,121.674352,148.938851,144.951395,493.411041,15.272732
#28,0.694697,0.395424,0.593916,0.459038,0.019196,699.221283,111.811401,151.36059,148.025279,500.617042,15.145314
#29,0.587758,0.49089,0.35660899999999995,0.539803,0.018675999999999998,718.047437,120.657536,149.595306,148.593226,478.399581,14.836539
#30,0.566708,0.346182,0.308264,0.275307,0.021557,700.197393,120.843153,151.770611,149.3092,493.707925,24.875887
#31,0.604305,0.630692,0.376017,0.31816300000000003,0.022719999999999997,738.540592,121.977279,159.266615,161.674761,603.1346,17.320225
#32,0.445364,0.37601999999999997,0.31021699999999996,0.327993,0.019586,777.542939,125.887384,164.977199,251.102645,767.917677,19.261213
#33,0.542586,0.457357,0.420025,0.388798,0.034391,899.802725,119.554697,157.293963,155.634628,510.132846,15.514954
#34,0.791775,0.583209,0.687959,0.44255,0.016379,731.3321,124.197013,156.486919,155.395163,512.971627,15.577671
#35,0.8651639999999999,0.578653,0.420646,0.39119400000000004,0.018229,714.506396,120.845987,153.736864,152.382293,514.700155,19.554343
#36,0.426922,0.372565,0.311328,0.279401,0.031156,726.142231,121.08558,151.443433,176.427081,503.905365,15.013083
#37,0.655182,0.519914,0.456723,0.43126600000000004,0.023003,723.002804,119.920636,156.62905,159.719764,548.615518,16.623822
#38,0.6231180000000001,0.415576,0.389459,0.382569,0.029146000000000002,713.318377,120.071334,153.803039,148.698516,504.491848,15.833689
#39,0.6658419999999999,0.457863,0.510304,0.441201,0.023284,710.421439,130.50669,154.23156,149.424098,511.083181,15.482225
#40,0.639857,0.5938150000000001,0.562314,0.48536399999999996,0.017515999999999997,712.523734,121.08165,160.470332,149.415868,512.627147,22.398671
#41,0.641517,0.35271199999999997,0.305483,0.30216899999999997,0.030503,740.294769,121.865534,151.781444,178.603969,513.948506,16.787731
#42,0.688539,0.43344099999999997,0.398294,0.304222,0.029477,734.721337,118.047755,153.75377,157.381182,519.411326,15.921429
#43,0.54644,0.423788,0.330221,0.31025,0.028943,720.166361,124.910093,155.811563,148.210747,520.197823,14.863176
#44,0.879694,0.491533,0.37749099999999997,0.37207799999999996,0.017596,732.936159,120.70532,152.4843,150.28649,503.252568,15.169738
#45,0.561493,0.317756,0.316478,0.305607,0.035728,710.58372,120.11844,152.476621,151.255932,506.858744,15.230322
#46,0.6367480000000001,0.38442899999999997,0.328318,0.27626999999999996,0.025184,738.745049,113.123478,154.497526,149.072526,508.263105,17.566186
#47,0.6153,0.46568,0.413062,0.428618,0.030006,741.098325,118.674856,152.279698,152.910909,527.104804,15.699858
#48,1.696553,0.418406,0.34039299999999995,0.367862,0.021601,718.516559,160.836053,201.131203,170.734975,507.336537,15.043742
#49,0.572568,0.356103,0.33401400000000003,0.29522699999999996,0.027955999999999998,723.61061,119.79645,151.740297,156.470132,505.050051,13.914371
#50,0.626692,0.426604,0.302105,0.325595,0.016447,713.501048,126.122148,151.118143,148.532501,464.206645,17.959777
