iteration,query1,query2,query3,query4,query5,query6,query7,query8,query9,query10,query11
#1,0.470497,0.301993,0.282382,0.219846,0.257787,728.121786,4587.062687000001,5589.909052,3305.880787,111109.944205,1.689813
#2,0.428576,0.998722,0.9390109999999999,0.601865,0.008441,721.089238,5466.391399,5311.929537,3599.341351,150777.616506,3.371272
#3,0.424362,1.747809,1.752442,1.079619,0.017737,750.576752,5842.807194,5844.097992,4622.939977999999,193681.159346,3.0354
#4,0.40717000000000003,2.093791,1.444706,1.298597,0.04322,725.516483,6380.075293,6524.186672,5243.409061,227213.641573,5.338331
#5,0.46683199999999997,3.126728,2.920493,1.826511,0.029879000000000003,745.845419,7019.233958,7013.664525,5448.521948,259174.420635,6.27097
#6,0.437495,3.34924,3.205292,2.168918,0.014936999999999999,775.010015,8035.168112999999,9311.062503000001,8997.888217,295644.12254400004,7.605574
#7,0.5420410000000001,3.930654,3.728188,2.670034,0.019354,770.363128,8223.32168,8220.936686,6750.891577,324616.746041,8.656372
#8,0.640475,4.642218,4.226297,3.400436,0.00976,770.2427,9258.907102000001,9045.525577999999,7643.72905,368435.120504,10.170947
#9,0.414495,5.260721,5.21948,5.18193,0.017058,793.315015,9840.631647,10493.322804,8629.933368,403863.618257,10.877907
#10,0.505101,5.813203,5.492978,4.563353,0.052693,739.844039,10237.279007,10152.302282999999,8707.840089,413777.701128,11.767973
