iteration,query1,query2,query3,query4,query5,query6,query7,query8
#1,17.279745,0.02896,669.187676,4868.214047,1113.887273,1111.78071,107518.418709,1.58257
#2,0.453221,0.010083,696.542238,6905.706064,2001.5769739999998,1805.045937,155063.944517,2.844655
#3,0.442906,0.401249,719.220563,6436.80085,7241.884251,3640.051472,179623.302596,3.419555
#4,0.471917,0.015538,700.321578,6306.775439,6234.365715,4288.878041,211589.035726,5.31569
#5,1.184239,0.018616,681.682853,6829.082794999999,7008.345344,5452.247032,254217.762571,6.871587
#6,0.4761,0.017513,670.364405,7687.675628,8149.782321,6043.645452,288617.18958799995,10.249874
#7,0.487515,0.011057,673.390594,8501.679108999999,8305.954294,6630.096313,323703.703138,8.209742
#8,0.426362,0.018142,673.242623,9001.571941,9165.582906,7780.902717,358109.75233,9.532698
#9,0.47125,0.014773999999999999,724.168867,9848.650573,9888.799494,8250.730738,402759.915583,10.259602
#10,0.46192300000000003,0.027169000000000002,701.198011,10312.246035,10390.997507,8878.472672,415868.26683100004,11.458007
