iteration,query1,query2,query3,query4,query5,query6,query7
#1,147.932558,162.647657,172.856846,171.673099,413.138406,421.687202,430.583009
#2,0.103575,0.047593,0.045982999999999996,0.039744,0.024299,0.055774000000000004,0.029786999999999998
#3,0.053484000000000004,0.078826,0.055113,0.037179000000000004,0.044808,0.027869,0.030338
#4,0.065753,0.056386000000000006,0.33396699999999996,0.032511000000000005,0.032994,0.043256,0.044747999999999996
#5,0.054777,0.035958,0.036371,0.040394,0.036609,0.029435,0.036284
#6,0.060171999999999996,0.068691,0.048704,0.075042,0.026965,0.027757999999999998,0.045774
#7,0.160356,0.334565,0.03657,0.061192,0.027486,0.026135000000000002,0.03621
#8,0.06859900000000001,0.038244999999999994,0.033341,0.030756,0.025849,0.027099,0.050633000000000004
#9,0.06613200000000001,0.036513,0.053298000000000005,0.08003400000000001,0.030386,0.048642000000000005,0.044855
#10,0.056868,0.058735,0.039009999999999996,0.038293,0.026785,0.025395,0.029946
#11,0.052153,0.033585000000000004,0.031759,0.029427,0.024862,0.049360999999999995,0.040802
#12,0.07089,0.054072,0.061043999999999994,0.523544,0.03903,0.043829,0.048171
#13,0.057218000000000005,0.036564,0.031716,0.039331000000000005,0.023850000000000003,0.02693,0.076905
#14,0.053996,0.038502,0.033790999999999995,0.031867,0.037033,0.028624,0.034639
#15,0.057044,0.037648,0.040483,0.057964,0.036701,0.029589999999999998,0.047836
#16,0.13004,0.892823,0.038621,0.035207999999999996,0.026063,0.041724,0.051842
#17,0.06425499999999999,0.037892,0.033888,0.030156,0.024211,0.023125,0.030615
#18,0.053982,0.035686,0.034116,0.034065,0.027756,0.033962000000000006,0.036626
#19,0.051942,0.034485999999999996,0.032943,0.030940000000000002,0.021695,0.02725,0.040176
#20,0.061052,0.038098999999999994,0.035815,0.033192,0.022699,0.07625799999999999,0.050389
#21,0.08519,0.062252,0.040974,0.034112,0.025077000000000002,0.024235,0.030908
#22,0.066964,0.127034,0.051886,0.042194,0.026703,0.027035,0.031225000000000003
#23,0.052393,0.050574,0.043220999999999996,0.03569,0.025977,0.028605000000000002,0.030496
#24,0.07018300000000001,0.038941,0.031181,0.029219000000000002,0.022736,0.022802,0.034589
#25,0.099393,0.049649,0.038962000000000004,0.033552,0.036938000000000006,0.039994999999999996,0.035436
#26,0.053013,0.037867,0.051132,0.042529000000000004,0.038196,0.027579,0.032869999999999996
#27,0.05017,0.056417999999999996,0.065818,0.03594,0.025741,0.028384,0.031094
#28,0.07627500000000001,0.039918999999999996,0.032896999999999996,0.033908,0.023787,0.044917,0.031421
#29,0.09776,0.037512000000000004,0.033032,0.032943,0.026432999999999998,0.029495999999999998,0.040670000000000005
#30,0.056509000000000004,0.041565,0.041269,0.110474,0.071548,0.071715,0.041404
#31,0.077654,0.047130000000000005,0.041233,0.038937,0.028331,0.032129,0.054883
#32,0.057747,0.039296,0.039859,0.036314,0.035923000000000004,0.051636,0.036525
#33,0.055945,0.035327,0.040771999999999996,0.041668,0.025488,0.031534,0.032069
#34,0.111205,0.056738,0.070327,0.037322,0.027149,0.027814,0.031579
#35,0.090294,0.042534999999999996,0.038393000000000004,0.032704000000000004,0.027885,0.025498,0.062467
#36,0.050848,0.035636,0.031876999999999996,0.032782,0.024712,0.03682,0.037270000000000005
#37,0.048392000000000004,0.03551,0.032594,0.034369,0.02975,0.031722,0.034656
#38,0.080876,0.077425,0.065202,0.037862,0.027306999999999998,0.025741,0.029686
#39,0.056558,0.067289,0.046607,0.065618,0.041084,0.039875999999999995,0.08258499999999999
#40,0.15360400000000002,0.065969,0.042058,0.036509,0.02445,0.025334,0.033404
#41,0.05662,0.035859,0.034825,0.033832,0.031918,0.260315,0.040343000000000004
#42,0.053497,0.034956,0.038773,0.042901,0.044084000000000005,0.030565000000000002,0.033727
#43,0.05028,0.038371,0.033807000000000004,0.032787,0.051901,0.040994,0.054557
#44,0.081568,0.060465000000000005,0.067914,0.040667,0.028589,0.031418,0.032053
#45,0.054178,0.038098999999999994,0.030888000000000002,0.033271,0.025373,0.035566,0.054213000000000004
#46,0.067247,0.079468,0.046079,0.034168,0.026902000000000002,0.025154,0.029605
#47,0.059659,0.040027,0.033514,0.031123,0.031524,0.035601,0.040409
#48,0.057006,0.044757,0.035265,0.030933,0.025182,0.046865000000000004,0.06564199999999999
#49,0.053416,0.039228,0.032896999999999996,0.045026000000000004,0.029291,0.027818000000000002,0.031187
#50,0.054046,0.052871,0.061979,0.036295,0.027299,0.029175,0.030143999999999997
#51,0.071592,0.041229,0.036194000000000004,0.030444,0.02618,0.027271,0.03149
#52,0.15738,0.170298,0.089725,0.09035,0.06853100000000001,0.055502,0.045982
